Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2019-01-09,62.52,68.0,62.52,67.03,19200,0.0721,,1286976.0,
2019-01-10,68.5,69.65,62.5,68.2,4400,-0.0044,0.0175,300080.0,
2019-01-11,68.0,68.18,66.75,67.25,20200,-0.011,-0.0139,1358450.0,
2019-01-14,65.35,74.71,64.76,70.55,32200,0.0796,0.0491,2271710.0,
2019-01-15,69.26,71.05,68.69,69.34,30000,0.0012,-0.0172,2080200.0,
2019-01-16,68.9,69.9,68.84,69.9,13400,0.0145,0.0081,936660.0,
2019-01-17,69.52,69.52,68.0,68.35,13000,-0.0168,-0.0222,888550.0,
2019-01-18,69.85,70.0,68.95,69.24,33700,-0.0087,0.013,2333388.0,
2019-01-22,69.53,69.55,67.36,68.95,28100,-0.0083,-0.0042,1937495.0,
2019-01-23,64.03,69.47,62.05,64.49,185200,0.0072,-0.0647,11943548.0,
2019-01-24,63.83,67.47,63.6,64.55,63000,0.0113,0.0009,4066650.0,2533705.7
2019-01-25,63.79,64.5,63.53,63.7,46400,-0.0014,-0.0132,2955680.0,2811673.1
2019-01-28,63.17,63.5,62.72,62.99,19200,-0.0028,-0.0111,1209408.0,3077233.1
2019-01-29,63.14,63.94,62.98,62.98,5600,-0.0025,-0.0002,352688.0,3062328.9
2019-01-30,63.09,64.42,62.95,64.32,10400,0.0195,0.0213,668928.0,2870426.7
2019-01-31,62.95,63.99,62.39,63.06,19900,0.0017,-0.0196,1254894.0,2729299.5
2019-02-01,63.47,63.59,62.61,63.57,4600,0.0016,0.0081,292422.0,2761122.9
2019-02-04,62.13,62.9,62.04,62.9,5900,0.0124,-0.0105,371110.0,2701510.1
2019-02-05,62.28,62.46,61.95,62.46,9600,0.0029,-0.007,599616.0,2505282.3
2019-02-06,62.1,62.17,61.37,61.7,3400,-0.0064,-0.0122,209780.0,2371494.4
2019-02-07,61.24,61.24,60.07,60.07,5900,-0.0191,-0.0264,354413.0,1198117.6
2019-02-08,59.4,61.8,59.01,60.87,19800,0.0247,0.0133,1205226.0,826893.9
2019-02-11,60.46,60.75,60.46,60.75,2600,0.0048,-0.002,157950.0,651848.5
2019-02-12,60.88,61.48,60.52,60.67,13200,-0.0034,-0.0013,800844.0,546702.7
2019-02-13,60.99,62.34,60.9,61.67,12000,0.0111,0.0165,740040.0,591518.3
