Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-03-04,9.98,10.0,9.92,9.95,7235171,-0.003,,71989951.45,
2021-03-05,9.92,10.09,9.92,10.02,2422692,0.0101,0.007,24275373.84,
2021-03-08,10.03,10.21,9.99,10.05,655642,0.002,0.003,6589202.1,
2021-03-09,10.0,10.05,9.98,10.04,39901,0.004,-0.001,400606.04,
2021-03-10,10.01,10.05,9.98,10.0,19013,-0.001,-0.004,190130.0,
2021-03-11,10.0,10.02,10.0,10.0,112069,0.0,0.0,1120690.0,
2021-03-12,10.0,10.03,10.0,10.0,8112,0.0,0.0,81120.0,
2021-03-15,9.99,10.01,9.98,10.0,140383,0.001,0.0,1403830.0,
2021-03-16,10.01,10.01,9.99,9.99,7672,-0.002,-0.001,76643.28,
2021-03-17,10.01,10.01,9.98,9.98,13603,-0.003,-0.001,135757.94,
2021-03-18,10.1,10.1,9.98,9.99,3732,-0.0109,0.001,37282.68,10626330.46
2021-03-19,9.95,9.95,9.93,9.94,47446,-0.001,-0.005,471613.24,3431063.59
2021-03-22,10.0,10.0,9.93,9.95,2616,-0.005,0.001,26029.2,1050687.53
2021-03-23,9.94,9.94,9.94,9.94,13199,0.0,-0.001,131198.06,394370.24
2021-03-24,9.92,9.92,9.92,9.92,6000,0.0,-0.002,59520.0,367429.44
2021-03-25,10.0,10.0,9.85,9.85,3500,-0.015,-0.0071,34475.0,354368.44
2021-03-26,9.85,9.85,9.85,9.85,0,0.0,0.0,0.0,245746.94
2021-03-29,9.85,9.95,9.85,9.95,3900,0.0102,0.0102,38805.0,237634.94
2021-03-30,9.95,9.95,9.95,9.95,0,0.0,0.0,0.0,101132.44
2021-03-31,9.95,9.95,9.95,9.95,0,0.0,0.0,0.0,93468.11
2021-04-01,9.98,10.0,9.93,9.97,105952,-0.001,0.002,1056341.44,79892.32
2021-04-05,9.95,9.95,9.94,9.95,35323,0.0,-0.002,351463.85,181798.19
