Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,13.48,13.68,13.4,13.48,62950,0.0,,848566.0,
2003-12-02,13.32,13.6,13.32,13.56,38225,0.018,0.0059,518331.0,
2003-12-03,13.76,13.92,13.4,13.72,27575,-0.0029,0.0118,378329.0,
2003-12-04,13.48,13.92,13.48,13.56,20700,0.0059,-0.0117,280692.0,
2003-12-05,13.48,13.68,13.4,13.44,16075,-0.003,-0.0088,216048.0,
2003-12-08,13.44,13.6,13.4,13.44,24600,0.0,0.0,330624.0,
2003-12-09,13.2,13.44,12.64,12.92,61450,-0.0212,-0.0387,793934.0,
2003-12-10,12.88,13.2,12.04,12.44,113500,-0.0342,-0.0372,1411940.0,
2003-12-11,12.04,12.8,12.0,12.4,64400,0.0299,-0.0032,798560.0,
2003-12-12,12.36,12.72,12.2,12.68,24750,0.0259,0.0226,313830.0,
2003-12-15,12.04,12.8,11.4,11.68,153925,-0.0299,-0.0789,1797844.0,589085.4
2003-12-16,11.48,11.76,11.08,11.28,101125,-0.0174,-0.0342,1140690.0,684013.2
2003-12-17,11.12,11.4,10.44,11.12,169300,0.0,-0.0142,1882616.0,746249.1
2003-12-18,10.88,12.36,10.88,11.88,90900,0.0919,0.0683,1079892.0,896677.8
2003-12-19,11.8,12.4,11.8,12.28,43725,0.0407,0.0337,536943.0,976597.8
2003-12-22,12.0,12.4,11.88,12.2,45175,0.0167,-0.0065,551135.0,1008687.3
2003-12-23,12.36,13.24,12.04,12.76,50475,0.0324,0.0459,644061.0,1030738.4
2003-12-24,12.2,13.44,12.2,13.2,23475,0.082,0.0345,309870.0,1015751.1
2003-12-26,13.44,13.44,12.8,13.12,19950,-0.0238,-0.0061,261744.0,905544.1
2003-12-29,19.72,20.56,17.44,20.56,5998950,0.0426,0.5671,123338412.0,851862.5
2003-12-30,22.84,26.88,21.8,24.76,9024725,0.0841,0.2043,223452191.0,13154320.7
2003-12-31,24.52,24.6,22.0,22.32,2442450,-0.0897,-0.0985,54515484.0,35319755.4
2004-01-02,22.84,23.96,20.84,21.24,1789225,-0.0701,-0.0484,38003139.0,40657234.8
2004-01-05,22.16,22.16,19.6,20.28,1208025,-0.0848,-0.0452,24498747.0,44269287.1
2004-01-06,19.28,19.8,18.44,19.12,1370175,-0.0083,-0.0572,26197746.0,46611172.6
2004-01-07,19.48,20.8,17.8,18.52,2066875,-0.0493,-0.0314,38278525.0,49177252.9
2004-01-08,18.88,19.16,17.84,18.24,779500,-0.0339,-0.0151,14218080.0,52949991.9
2004-01-09,18.4,19.52,18.0,18.64,781075,0.013,0.0219,14559238.0,54307393.8
2004-01-12,19.16,19.32,18.6,18.76,377000,-0.0209,0.0064,7072520.0,55732330.6
2004-01-13,19.0,19.0,17.92,18.04,377325,-0.0505,-0.0384,6806943.0,56413408.2
2004-01-14,18.2,18.64,17.92,18.0,279075,-0.011,-0.0022,5023350.0,44760261.3
2004-01-15,18.64,18.84,17.84,18.0,235350,-0.0343,0.0,4236300.0,22917377.2
2004-01-16,18.36,18.56,17.84,17.92,229600,-0.024,-0.0044,4114432.0,17889458.8
2004-01-20,17.84,18.0,17.04,17.24,437275,-0.0336,-0.0379,7538621.0,14500588.1
