Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2023-05-01,6.2,7.05,5.82,6.6,414200,0.0645,,2733720.0,
2023-05-02,6.5,6.5,6.06,6.3,55300,-0.0308,-0.0455,348390.0,
2023-05-03,6.7,7.1,6.25,6.35,88400,-0.0522,0.0079,561340.0,
2023-05-04,6.37,6.88,6.03,6.8,187300,0.0675,0.0709,1273640.0,
2023-05-05,6.8,6.9,4.8,4.85,273500,-0.2868,-0.2868,1326475.0,
2023-05-08,4.59,4.75,3.31,3.54,189900,-0.2288,-0.2701,672246.0,
2023-05-09,3.55,4.39,3.55,3.83,84600,0.0789,0.0819,324018.0,
2023-05-10,3.73,4.43,3.61,4.07,46600,0.0912,0.0627,189662.0,
2023-05-11,4.2,4.2,3.5,3.73,39200,-0.1119,-0.0835,146216.0,
2023-05-12,3.67,3.82,3.21,3.61,84900,-0.0163,-0.0322,306489.0,
2023-05-15,3.72,3.96,3.5,3.77,24400,0.0134,0.0443,91988.0,788219.6
2023-05-16,3.92,4.77,3.74,4.25,105000,0.0842,0.1273,446250.0,524046.4
2023-05-17,4.06,5.53,4.03,4.74,141800,0.1675,0.1153,672132.0,533832.4
2023-05-18,4.75,5.97,4.75,5.71,482300,0.2021,0.2046,2753933.0,544911.6
2023-05-19,5.96,7.11,5.95,7.08,457800,0.1879,0.2399,3241224.0,692940.9
2023-05-22,7.11,7.14,5.02,5.81,379700,-0.1828,-0.1794,2206057.0,884415.8
2023-05-23,5.46,6.15,5.4,6.12,195900,0.1209,0.0534,1198908.0,1037796.9
2023-05-24,6.38,6.6,5.75,6.5,120200,0.0188,0.0621,781300.0,1125285.9
2023-05-25,6.13,6.45,5.55,6.03,71400,-0.0163,-0.0723,430542.0,1184449.7
2023-05-26,5.8,6.33,5.28,6.0,94800,0.0345,-0.005,568800.0,1212882.3
2023-05-30,5.6,5.93,5.3,5.4,24600,-0.0357,-0.1,132840.0,1239113.4
2023-05-31,5.2,5.27,4.91,5.08,26300,-0.0231,-0.0593,133604.0,1243198.6
2023-06-01,5.44,5.44,4.93,5.08,35400,-0.0662,0.0,179832.0,1211934.0
2023-06-02,4.9,5.39,4.9,5.03,13800,0.0265,-0.0098,69414.0,1162704.0
2023-06-05,4.93,5.16,4.9,4.9,11900,-0.0061,-0.0258,58310.0,894252.1
2023-06-06,4.9,5.28,4.8,4.89,101000,-0.002,-0.002,493890.0,575960.7
2023-06-07,4.8,5.0,4.8,4.86,3400,0.0125,-0.0061,16524.0,404744.0
2023-06-08,4.8,4.93,4.41,4.59,15900,-0.0437,-0.0556,72981.0,286505.6
2023-06-09,4.8,5.69,4.77,5.22,391700,0.0875,0.1373,2044674.0,215673.7
2023-06-12,5.31,5.34,4.1,4.59,185800,-0.1356,-0.1207,852822.0,377086.9
2023-06-13,4.3,4.65,4.05,4.4,35000,0.0233,-0.0414,154000.0,405489.1
2023-06-14,4.32,4.68,4.04,4.45,53500,0.0301,0.0114,238075.0,407605.1
2023-06-15,4.14,4.75,4.14,4.31,61800,0.0411,-0.0315,266358.0,418052.2
2023-06-16,4.25,4.45,3.89,3.89,34400,-0.0847,-0.0974,133816.0,426704.8
2023-06-20,3.81,3.95,3.38,3.7,35100,-0.0289,-0.0488,129870.0,433145.0
2023-06-21,3.6,3.76,3.49,3.49,5100,-0.0306,-0.0568,17799.0,440301.0
2023-06-22,3.49,3.49,3.34,3.46,8800,-0.0086,-0.0086,30448.0,392691.9
2023-06-23,3.33,3.46,3.07,3.37,31300,0.012,-0.026,105481.0,394084.3
2023-06-26,3.37,3.37,3.05,3.08,38400,-0.0861,-0.0861,118272.0,397334.3
2023-06-27,3.05,3.17,2.71,2.75,55700,-0.0984,-0.1071,153175.0,204694.1
2023-06-28,2.75,2.93,2.7,2.7,34100,-0.0182,-0.0182,92070.0,134729.4
2023-06-29,2.66,2.74,2.55,2.59,23700,-0.0263,-0.0407,61383.0,128536.4
2023-06-30,2.7,3.05,2.5,2.79,91900,0.0333,0.0772,256401.0,110867.2
2023-07-03,2.82,3.1,2.82,2.91,13100,0.0319,0.043,38121.0,109871.5
2023-07-05,2.93,3.08,2.8,2.8,10500,-0.0444,-0.0378,29400.0,100302.0
2023-07-06,2.9,2.9,2.62,2.68,23300,-0.0759,-0.0429,62444.0,90255.0
2023-07-07,2.81,2.85,2.55,2.61,13300,-0.0712,-0.0261,34713.0,94719.5
2023-07-10,2.49,2.96,2.49,2.88,13600,0.1566,0.1034,39168.0,95146.0
2023-07-11,2.77,2.99,2.77,2.8,8600,0.0108,-0.0278,24080.0,88514.7
2023-07-12,2.91,2.95,2.79,2.79,28500,-0.0412,-0.0036,79515.0,79095.5
2023-07-13,2.85,2.91,2.75,2.84,25500,-0.0035,0.0179,72420.0,71729.5
