Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-03-19,25.3,25.86,24.68,25.12,4273500,-0.0071,,107350320.0,
2021-03-22,24.71,25.0,21.14,23.19,5118100,-0.0615,-0.0768,118688739.0,
2021-03-23,23.0,23.09,20.9,21.0,5339400,-0.087,-0.0944,112127400.0,
2021-03-24,21.0,21.27,18.51,19.28,6340700,-0.0819,-0.0819,122248696.0,
2021-03-25,18.8,20.25,17.58,19.15,3407200,0.0186,-0.0067,65247880.0,
2021-03-26,20.0,24.65,19.11,24.64,3845300,0.232,0.2867,94748192.0,
2021-03-29,23.0,23.01,20.12,20.25,3954800,-0.1196,-0.1782,80084700.0,
2021-03-30,20.26,21.01,19.76,20.38,1375900,0.0059,0.0064,28040842.0,
2021-03-31,20.46,22.97,20.45,21.14,1864600,0.0332,0.0373,39417644.0,
2021-04-01,21.99,24.0,21.67,23.34,2113000,0.0614,0.1041,49317420.0,
2021-04-05,22.99,23.16,20.05,20.07,907400,-0.127,-0.1401,18211518.0,81727183.3
2021-04-06,20.55,21.55,20.19,20.43,386000,-0.0058,0.0179,7885980.0,72813303.1
2021-04-07,20.58,21.76,20.3,21.0,481300,0.0204,0.0279,10107300.0,61733027.2
2021-04-08,21.34,22.64,21.01,22.21,460200,0.0408,0.0576,10221042.0,51531017.2
2021-04-09,22.07,22.64,21.62,22.27,774000,0.0091,0.0027,17236980.0,40328251.8
2021-04-12,22.11,22.18,19.01,19.31,1963900,-0.1266,-0.1329,37922909.0,35527161.8
2021-04-13,20.0,20.52,18.85,19.01,1023500,-0.0495,-0.0155,19456735.0,29844633.5
2021-04-14,19.05,19.16,17.1,17.76,1837000,-0.0677,-0.0658,32625120.0,23781837.0
2021-04-15,17.81,18.96,17.51,17.61,819700,-0.0112,-0.0084,14434917.0,24240264.8
2021-04-16,17.97,20.5,17.91,20.28,1969100,0.1285,0.1516,39933348.0,21741992.1
2021-04-19,20.4,20.5,18.0,18.0,1314100,-0.1176,-0.1124,23653800.0,20803584.9
2021-04-20,18.4,18.47,17.61,17.77,1018400,-0.0342,-0.0128,18096968.0,21347813.1
2021-04-21,17.67,18.08,17.42,17.68,642500,0.0006,-0.0051,11359400.0,22368911.9
2021-04-22,17.75,18.61,17.39,17.43,1264700,-0.018,-0.0141,22043721.0,22494121.9
2021-04-23,17.95,20.59,17.68,20.27,1101500,0.1292,0.1629,22327405.0,23676389.8
2021-04-26,19.75,20.67,19.26,20.35,505600,0.0304,0.0039,10288960.0,24185432.3
2021-04-27,20.36,20.9,19.72,19.96,543900,-0.0196,-0.0192,10856244.0,21422037.4
2021-04-28,20.25,20.8,19.96,20.72,561600,0.0232,0.0381,11636352.0,20561988.3
2021-04-29,21.0,21.0,19.93,20.2,547400,-0.0381,-0.0251,11057480.0,18463111.5
2021-04-30,19.99,20.2,19.38,19.39,486000,-0.03,-0.0401,9423540.0,18125367.8
2021-05-03,19.3,19.93,18.97,19.85,192000,0.0285,0.0237,3811200.0,15074387.0
2021-05-04,19.4,19.86,18.88,19.78,282100,0.0196,-0.0035,5579938.0,13090127.0
2021-05-05,19.52,19.73,18.36,18.68,186900,-0.043,-0.0556,3491292.0,11838424.0
