Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2017-03-10,24.47,25.0,24.47,24.55,164319,0.0033,,4034031.45,
2017-03-13,24.69,25.0,24.6,24.85,53000,0.0065,0.0122,1317050.0,
2017-03-14,24.75,25.0,24.75,24.85,235189,0.004,0.0,5844446.65,
2017-03-15,24.8,25.0,24.75,24.9,174950,0.004,0.002,4356255.0,
2017-03-16,25.05,25.4,25.0,25.18,617107,0.0052,0.0112,15538754.26,
2017-03-17,25.34,25.4,25.19,25.38,255106,0.0016,0.0079,6474590.28,
2017-03-20,25.41,25.44,25.28,25.32,250573,-0.0035,-0.0024,6344508.36,
2017-03-21,25.37,25.59,25.3,25.58,266133,0.0083,0.0103,6807682.14,
2017-03-22,25.58,25.67,25.47,25.52,224519,-0.0023,-0.0023,5729724.88,
2017-03-23,25.54,25.6,25.49,25.58,204310,0.0016,0.0024,5226249.8,
2017-03-24,25.6,25.77,25.59,25.7,128796,0.0039,0.0047,3310057.2,6167329.28
2017-03-27,25.63,25.78,25.61,25.77,105746,0.0055,0.0027,2725074.42,6094931.86
2017-03-28,25.79,26.03,25.79,25.92,207976,0.005,0.0058,5390737.92,6235734.3
2017-03-29,25.96,26.01,25.89,25.97,241205,0.0004,0.0019,6264093.85,6190363.43
2017-03-30,25.94,26.11,25.94,26.1,132285,0.0062,0.005,3452638.5,6381147.31
2017-03-31,26.12,26.22,26.08,26.14,121298,0.0008,0.0015,3170729.72,5172535.74
2017-04-03,26.18,26.24,26.14,26.2,104560,0.0008,0.0023,2739472.0,4842149.68
2017-04-04,26.23,26.27,26.12,26.17,194437,-0.0023,-0.0011,5088416.29,4481646.04
2017-04-05,26.18,26.25,26.03,26.12,80116,-0.0023,-0.0019,2092629.92,4309719.46
2017-04-06,26.12,26.15,26.01,26.13,45403,0.0004,0.0004,1186380.39,3946009.96
2017-04-07,26.14,26.26,26.14,26.21,119547,0.0027,0.0031,3133326.87,3542023.02
2017-04-10,26.25,26.28,26.16,26.16,76725,-0.0034,-0.0019,2007126.0,3524349.99
2017-04-11,26.12,26.18,26.01,26.11,55904,-0.0004,-0.0019,1459653.44,3452555.15
2017-04-12,26.17,26.23,26.1,26.23,35483,0.0023,0.0046,930719.09,3059446.7
2017-04-13,26.28,26.28,26.16,26.22,39531,-0.0023,-0.0004,1036502.82,2526109.22
2017-04-17,26.15,26.19,26.05,26.14,119322,-0.0004,-0.0031,3119077.08,2284495.65
2017-04-18,26.18,26.18,26.08,26.11,63316,-0.0027,-0.0011,1653180.76,2279330.39
2017-04-19,26.05,26.18,26.03,26.03,53255,-0.0008,-0.0031,1386227.65,2170701.27
2017-04-20,26.08,26.09,25.94,26.04,83912,-0.0015,0.0004,2185068.48,1800482.4
2017-04-21,26.09,26.47,25.97,26.44,801815,0.0134,0.0154,21199988.6,1809726.26
2017-04-24,26.35,26.57,26.34,26.57,71310,0.0083,0.0049,1894706.7,3811087.08
2017-04-25,26.44,26.62,26.32,26.47,75214,0.0011,-0.0038,1990914.58,3687225.06
2017-04-26,26.43,26.64,26.4,26.63,29873,0.0076,0.006,795517.99,3685603.92
2017-04-27,26.67,27.34,26.65,26.95,64617,0.0105,0.012,1741428.15,3619190.38
2017-04-28,26.89,27.05,26.57,26.8,59100,-0.0033,-0.0056,1583880.0,3700261.28
2017-05-01,26.62,26.84,26.62,26.8,10443,0.0068,0.0,279872.4,3754999.0
2017-05-02,26.75,26.9,26.6,26.9,41662,0.0056,0.0037,1120707.8,3471078.53
2017-05-03,26.8,26.8,26.68,26.8,11768,0.0,-0.0037,315382.4,3417831.24
2017-05-04,26.7,26.88,26.61,26.87,15810,0.0064,0.0026,424814.7,3310746.71
2017-05-05,26.62,26.85,26.62,26.85,7907,0.0086,-0.0007,212302.95,3134721.33
2017-05-08,26.67,26.73,26.6,26.69,17753,0.0007,-0.006,473827.57,1035952.77
2017-05-09,26.57,26.71,26.3,26.3,40910,-0.0102,-0.0146,1075933.0,893864.85
2017-05-10,26.25,26.88,26.25,26.75,77364,0.019,0.0171,2069487.0,802366.7
2017-05-11,26.78,26.84,26.5,26.52,20478,-0.0097,-0.0086,543076.56,929763.6
2017-05-12,26.41,26.87,26.41,26.7,55639,0.011,0.0068,1485561.3,809928.44
2017-05-15,26.6,26.87,26.6,26.87,9475,0.0102,0.0064,254593.25,800096.57
2017-05-16,26.61,26.9,26.61,26.9,12838,0.0109,0.0011,345342.2,797568.65
2017-05-17,26.89,26.99,26.7,26.94,14984,0.0019,0.0015,403668.96,720032.09
2017-05-18,26.99,26.99,26.67,26.99,5453,0.0,0.0019,147176.47,728860.75
2017-05-19,26.99,27.25,26.89,27.2,23496,0.0078,0.0078,639091.2,701096.93
2017-05-22,26.97,27.1,26.85,27.1,18339,0.0048,-0.0037,496986.9,743775.75
2017-05-23,27.2,27.24,26.68,27.15,15782,-0.0018,0.0018,428481.3,746091.68
