Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-03-29,10.18,10.18,9.6,9.75,130200,-0.0422,,1269450.0,
2021-03-30,10.25,10.25,9.71,9.75,64600,-0.0488,0.0,629850.0,
2021-03-31,10.0,10.0,9.74,9.76,20200,-0.024,0.001,197152.0,
2021-04-01,9.73,9.75,9.72,9.75,531300,0.0021,-0.001,5180175.0,
2021-04-05,9.75,9.82,9.75,9.81,7600,0.0062,0.0062,74556.0,
2021-04-06,9.65,9.95,9.65,9.75,11200,0.0104,-0.0061,109200.0,
2021-04-07,9.78,9.85,9.76,9.84,24100,0.0061,0.0092,237144.0,
2021-04-08,9.98,9.99,9.9,9.98,6300,0.0,0.0142,62874.0,
2021-04-09,9.98,9.98,9.98,9.98,400,0.0,0.0,3992.0,
2021-04-12,9.98,9.98,9.98,9.98,0,0.0,0.0,0.0,
2021-04-13,9.85,9.85,9.85,9.85,4000,0.0,-0.013,39400.0,776439.3
2021-04-14,9.8,9.95,9.8,9.85,140300,0.0051,0.0,1381955.0,653434.3
2021-04-15,9.85,9.86,9.85,9.85,9300,0.0,0.0,91605.0,728644.8
2021-04-16,9.8,9.82,9.8,9.82,24500,0.002,-0.003,240590.0,718090.1
2021-04-19,9.76,9.95,9.76,9.85,7800,0.0092,0.0031,76830.0,224131.6
2021-04-20,9.9,9.9,9.9,9.9,300,0.0,0.0051,2970.0,224359.0
2021-04-21,9.85,9.85,9.82,9.85,3700,0.0,-0.0051,36445.0,213736.0
2021-04-22,9.79,9.79,9.79,9.79,1500,0.0,-0.0061,14685.0,193666.1
2021-04-23,9.8,9.8,9.76,9.8,12300,0.0,0.001,120540.0,188847.2
2021-04-26,9.72,9.72,9.68,9.68,5200,-0.0041,-0.0122,50336.0,200502.0
2021-04-27,9.67,9.76,9.67,9.76,6900,0.0093,0.0083,67344.0,205535.6
2021-04-28,9.76,9.79,9.76,9.76,37300,0.0,0.0,364048.0,208330.0
2021-04-29,9.8,9.8,9.76,9.76,12400,-0.0041,0.0,121024.0,106539.3
2021-04-30,9.75,9.76,9.74,9.75,103800,0.0,-0.001,1012050.0,109481.2
2021-05-03,9.77,9.79,9.77,9.77,36600,0.0,0.0021,357582.0,186627.2
2021-05-04,9.79,9.8,9.79,9.79,11100,0.0,0.002,108669.0,214702.4
2021-05-05,9.79,9.79,9.74,9.75,57100,-0.0041,-0.0041,556725.0,225272.3
2021-05-06,9.75,9.76,9.74,9.74,58500,-0.001,-0.001,569790.0,277300.3
2021-05-07,9.74,9.81,9.74,9.74,27000,0.0,0.0,262980.0,332810.8
2021-05-10,9.74,9.81,9.74,9.78,25400,0.0041,0.0041,248412.0,347054.8
2021-05-11,9.78,9.78,9.75,9.75,1200,-0.0031,-0.0031,11700.0,366862.4
2021-05-12,9.75,9.75,9.75,9.75,0,0.0,0.0,0.0,361298.0
2021-05-13,9.75,9.75,9.75,9.75,0,0.0,0.0,0.0,324893.2
2021-05-14,9.75,9.75,9.75,9.75,0,0.0,0.0,0.0,312790.8
2021-05-17,9.75,9.75,9.75,9.75,0,0.0,0.0,0.0,211585.8
