Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2018-01-18,24.56,24.85,24.5,24.57,1582008,0.0004,,38869936.56,
2018-01-19,24.75,24.75,24.45,24.56,154516,-0.0077,-0.0004,3794912.96,
2018-01-22,24.56,24.6,24.48,24.54,109024,-0.0008,-0.0008,2675448.96,
2018-01-23,24.59,24.59,24.48,24.58,99201,-0.0004,0.0016,2438360.58,
2018-01-24,24.58,24.63,24.57,24.57,34688,-0.0004,-0.0004,852284.16,
2018-01-25,24.54,24.59,24.4,24.4,41222,-0.0057,-0.0069,1005816.8,
2018-01-26,24.47,24.52,24.4,24.4,24074,-0.0029,0.0,587405.6,
2018-01-29,24.35,24.38,23.8,24.38,93188,0.0012,-0.0008,2271923.44,
2018-01-30,24.3,24.3,24.12,24.16,17541,-0.0058,-0.009,423790.56,
2018-01-31,24.35,24.35,24.31,24.31,3454,-0.0016,0.0062,83966.74,
2018-02-01,24.25,24.4,24.19,24.4,19725,0.0062,0.0037,481290.0,5300384.64
2018-02-02,24.25,24.25,23.81,24.2,20894,-0.0021,-0.0082,505634.8,1461519.98
2018-02-05,24.19,24.25,24.15,24.19,4580,0.0,-0.0004,110790.2,1132592.16
2018-02-06,24.19,24.3,24.1,24.1,6578,-0.0037,-0.0037,158529.8,876126.29
2018-02-07,24.12,24.15,23.95,24.04,16220,-0.0033,-0.0025,389928.8,648143.21
2018-02-08,24.05,24.05,23.95,23.95,3604,-0.0042,-0.0037,86315.8,601907.67
2018-02-09,24.4,24.4,23.81,24.1,12882,-0.0123,0.0063,310456.2,509957.57
2018-02-12,24.1,24.1,23.95,23.95,3180,-0.0062,-0.0062,76161.0,482262.63
2018-02-13,23.99,24.04,23.81,23.9,2281,-0.0038,-0.0021,54515.9,262686.39
2018-02-14,23.74,23.79,23.5,23.75,12404,0.0004,-0.0063,294595.0,225758.92
2018-02-15,23.6,23.7,23.32,23.7,23610,0.0042,-0.0021,559557.0,246821.75
2018-02-16,24.04,24.19,23.75,24.15,5870,0.0046,0.019,141760.5,254648.45
2018-02-20,24.14,24.14,23.92,23.98,12552,-0.0066,-0.007,300996.96,218261.02
2018-02-21,24.0,24.01,23.81,23.95,8580,-0.0021,-0.0013,205491.0,237281.7
2018-02-22,24.0,24.0,23.99,23.99,2500,-0.0004,0.0017,59975.0,241977.82
2018-02-23,23.95,23.98,23.95,23.98,800,0.0013,-0.0004,19184.0,208982.44
2018-02-26,24.0,24.09,23.75,23.85,14009,-0.0062,-0.0054,334114.65,202269.26
2018-02-27,23.75,23.94,23.6,23.8,14714,0.0021,-0.0021,350193.2,204635.1
2018-02-28,23.8,23.9,23.61,23.9,12576,0.0042,0.0042,300566.4,232038.32
2018-03-01,23.8,23.85,23.68,23.7,8088,-0.0042,-0.0084,191685.6,256643.37
2018-03-02,23.75,23.75,23.5,23.75,24627,0.0,0.0021,584891.25,246352.43
2018-03-05,23.84,23.84,23.66,23.83,7844,-0.0004,0.0034,186922.52,248885.86
2018-03-06,24.0,24.0,23.88,23.9,2557,-0.0042,0.0029,61112.3,253402.06
2018-03-07,23.9,23.9,23.62,23.79,8840,-0.0046,-0.0046,210303.6,229413.59
