Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,17.44,17.85,17.44,17.77,530700,0.0189,,9430539.0,
2003-12-02,17.76,18.04,17.7,17.93,764900,0.0096,0.009,13714657.0,
2003-12-03,17.91,18.01,17.8,17.86,330300,-0.0028,-0.0039,5899158.0,
2003-12-04,17.89,18.05,17.59,18.03,720700,0.0078,0.0095,12994221.0,
2003-12-05,17.94,18.02,17.8,17.93,974400,-0.0006,-0.0055,17470992.0,
2003-12-08,17.89,18.09,17.8,17.8,514800,-0.005,-0.0073,9163440.0,
2003-12-09,18.02,18.27,17.78,18.21,906100,0.0105,0.023,16500081.0,
2003-12-10,18.31,18.32,17.98,18.09,823100,-0.012,-0.0066,14889879.0,
2003-12-11,18.02,18.55,17.99,18.48,1204500,0.0255,0.0216,22259160.0,
2003-12-12,18.6,18.97,18.6,18.79,905900,0.0102,0.0168,17021861.0,
2003-12-15,18.99,19.02,18.79,18.81,415300,-0.0095,0.0011,7811793.0,13934398.8
2003-12-16,18.9,18.92,18.75,18.8,444200,-0.0053,-0.0005,8350960.0,13772524.2
2003-12-17,18.8,18.85,18.56,18.64,325600,-0.0085,-0.0085,6069184.0,13236154.5
2003-12-18,18.57,18.78,18.51,18.76,347700,0.0102,0.0064,6522852.0,13253157.1
2003-12-19,18.71,18.94,18.58,18.88,298700,0.0091,0.0064,5639456.0,12606020.2
2003-12-22,18.9,18.99,18.81,18.95,186200,0.0026,0.0037,3528490.0,11422866.6
2003-12-23,18.94,19.5,18.93,19.42,601300,0.0253,0.0248,11677246.0,10859371.6
2003-12-24,19.41,19.43,19.22,19.31,302400,-0.0052,-0.0057,5839344.0,10377088.1
2003-12-26,19.31,19.43,19.22,19.32,88400,0.0005,0.0005,1707888.0,9472034.6
2003-12-29,19.33,19.5,19.32,19.5,385800,0.0088,0.0093,7523100.0,7416907.4
2003-12-30,19.46,19.5,19.4,19.45,148500,-0.0005,-0.0026,2888325.0,6467031.3
2003-12-31,19.48,19.53,19.25,19.3,294200,-0.0092,-0.0077,5678060.0,5974684.5
2004-01-02,19.39,19.5,19.31,19.46,272600,0.0036,0.0083,5304796.0,5707394.5
2004-01-05,19.45,19.74,19.39,19.71,379600,0.0134,0.0128,7481916.0,5630955.7
2004-01-06,19.71,19.74,18.89,18.91,868900,-0.0406,-0.0406,16430899.0,5726862.1
2004-01-07,19.0,19.21,18.79,19.0,864900,0.0,0.0048,16433100.0,6806006.4
2004-01-08,19.57,19.83,19.0,19.23,1060800,-0.0174,0.0121,20399184.0,8096467.4
2004-01-09,19.23,19.48,19.09,19.48,594100,0.013,0.013,11573068.0,8968661.2
2004-01-12,19.39,19.54,19.31,19.45,263100,0.0031,-0.0015,5117295.0,9542033.6
2004-01-13,19.4,19.54,19.21,19.21,377600,-0.0098,-0.0123,7253696.0,9882974.3
2004-01-14,19.22,19.59,19.0,19.2,825500,-0.001,-0.0005,15849600.0,9856033.9
2004-01-15,19.19,19.25,19.05,19.12,508900,-0.0036,-0.0042,9730168.0,11152161.4
2004-01-16,19.19,19.5,19.13,19.25,711700,0.0031,0.0068,13700225.0,11557372.2
2004-01-20,19.17,19.21,18.5,18.81,1080000,-0.0188,-0.0229,20314800.0,12396915.1
2004-01-21,18.73,19.18,18.72,19.17,942800,0.0235,0.0191,18073476.0,13680203.5
2004-01-22,19.18,19.26,19.05,19.24,587200,0.0031,0.0037,11297728.0,13844461.2
2004-01-23,19.27,19.3,18.92,18.95,1209400,-0.0166,-0.0151,22918130.0,13330924.0
2004-01-26,19.0,19.0,18.7,18.8,566600,-0.0105,-0.0079,10652080.0,13582818.6
2004-01-27,18.8,18.91,18.67,18.78,308000,-0.0011,-0.0011,5784240.0,13490719.8
2004-01-28,18.75,18.84,18.46,18.46,619900,-0.0155,-0.017,11443354.0,13557414.3
2004-01-29,18.59,18.79,18.1,18.32,535300,-0.0145,-0.0076,9806696.0,13976380.1
2004-01-30,18.3,18.48,18.26,18.43,215700,0.0071,0.006,3975351.0,13372089.7
2004-02-02,18.37,18.9,18.28,18.66,1353700,0.0158,0.0125,25260042.0,12796608.0
2004-02-03,18.68,18.81,18.3,18.38,742200,-0.0161,-0.015,13641636.0,13952589.7
2004-02-04,18.29,18.45,18.0,18.05,595200,-0.0131,-0.018,10743360.0,13285273.3
2004-02-05,18.09,18.3,18.0,18.05,468100,-0.0022,0.0,8449205.0,12552261.7
2004-02-06,18.05,18.37,18.05,18.2,357400,0.0083,0.0083,6504680.0,12267409.4
2004-02-09,18.21,18.56,18.2,18.37,794200,0.0088,0.0093,14589454.0,10626064.4
2004-02-10,18.8,19.07,18.7,18.8,3098500,0.0,0.0234,58251800.0,11019801.8
2004-02-11,18.79,19.5,18.79,19.41,1720300,0.033,0.0324,33391023.0,16266557.8
2004-02-12,19.5,19.5,18.8,18.89,557300,-0.0313,-0.0268,10527397.0,18461324.7
2004-02-13,18.8,18.88,18.27,18.48,1016800,-0.017,-0.0217,18790464.0,18533394.8
2004-02-17,18.61,18.82,18.42,18.6,447600,-0.0005,0.0065,8325360.0,20014906.1
2004-02-18,18.6,18.66,18.17,18.36,418400,-0.0129,-0.0129,7681824.0,18321437.9
2004-02-19,18.38,18.55,18.0,18.0,506500,-0.0207,-0.0196,9117000.0,17725456.7
2004-02-20,17.98,18.27,17.75,18.27,756900,0.0161,0.015,13828563.0,17562820.7
2004-02-23,18.24,18.44,17.55,17.7,498000,-0.0296,-0.0312,8814600.0,18100756.5
2004-02-24,17.61,17.93,17.58,17.77,766400,0.0091,0.004,13618928.0,18331748.5
2004-02-25,17.76,18.1,17.66,18.05,525600,0.0163,0.0158,9487080.0,18234695.9
2004-02-26,18.05,18.31,17.88,18.22,971800,0.0094,0.0094,17706196.0,13358223.9
2004-02-27,18.33,18.42,18.07,18.22,437300,-0.006,0.0,7967606.0,11789741.2
2004-03-01,18.21,18.51,18.2,18.34,446500,0.0071,0.0066,8188810.0,11533762.1
2004-03-02,18.34,18.48,18.3,18.35,300100,0.0005,0.0005,5506835.0,10473596.7
2004-03-03,18.35,18.48,18.29,18.44,328000,0.0049,0.0049,6048320.0,10191744.2
2004-03-04,18.45,18.8,18.41,18.66,880600,0.0114,0.0119,16431996.0,10028393.8
2004-03-05,18.57,18.7,18.36,18.67,500700,0.0054,0.0005,9348069.0,10759893.4
2004-03-08,18.69,19.33,18.6,18.9,855500,0.0112,0.0123,16168950.0,10311844.0
2004-03-09,18.85,19.06,18.69,18.92,745400,0.0037,0.0011,14102968.0,11047279.0
2004-03-10,18.92,18.96,18.5,18.78,724300,-0.0074,-0.0074,13602354.0,11095683.0
2004-03-11,18.77,18.83,18.6,18.73,589800,-0.0021,-0.0027,11046954.0,11507210.4
2004-03-12,18.58,19.03,18.58,19.0,373000,0.0226,0.0144,7087000.0,10841286.2
2004-03-15,19.16,19.2,18.5,18.55,406300,-0.0318,-0.0237,7536865.0,10753225.6
2004-03-16,18.54,18.77,18.48,18.54,169900,0.0,-0.0005,3149946.0,10688031.1
2004-03-17,18.43,18.65,18.21,18.38,446500,-0.0027,-0.0086,8206670.0,10452342.2
2004-03-18,18.33,18.33,18.15,18.24,341600,-0.0049,-0.0076,6230784.0,10668177.2
2004-03-19,18.27,18.45,18.0,18.41,515400,0.0077,0.0093,9488514.0,9648056.0
2004-03-22,18.36,18.4,18.07,18.15,445700,-0.0114,-0.0141,8089455.0,9662100.5
2004-03-23,18.15,18.3,18.07,18.12,587000,-0.0017,-0.0017,10636440.0,8854151.0
2004-03-24,18.2,18.31,18.0,18.11,815400,-0.0049,-0.0006,14766894.0,8507498.2
2004-03-25,18.15,18.26,18.06,18.14,926800,-0.0006,0.0017,16812152.0,8623952.2
2004-03-26,18.13,18.63,18.03,18.42,797100,0.016,0.0154,14682582.0,9200472.0
2004-03-29,18.38,18.63,18.37,18.45,248100,0.0038,0.0016,4577445.0,9960030.2
2004-03-30,18.45,18.45,18.13,18.38,576900,-0.0038,-0.0038,10603422.0,9664088.2
2004-03-31,18.38,18.64,18.3,18.5,297900,0.0065,0.0065,5511150.0,10409435.8
2004-04-01,18.53,19.05,18.47,18.83,458800,0.0162,0.0178,8639204.0,10139883.8
2004-04-02,18.98,19.05,18.77,18.92,506800,-0.0032,0.0048,9588656.0,10380725.8
2004-04-05,18.96,18.96,18.77,18.79,524400,-0.009,-0.0069,9853476.0,10390740.0
2004-04-06,18.79,18.9,18.6,18.86,290000,0.0037,0.0037,5469400.0,10567142.1
2004-04-07,18.84,19.2,18.81,19.07,362000,0.0122,0.0111,6903340.0,10050438.1
2004-04-08,19.16,19.32,18.97,19.02,297700,-0.0073,-0.0026,5662254.0,9264082.7
2004-04-12,19.16,19.45,19.1,19.39,522400,0.012,0.0195,10129336.0,8149092.9
2004-04-13,19.36,19.55,19.2,19.3,765000,-0.0031,-0.0046,14764500.0,7693768.3
2004-04-14,19.23,19.56,19.18,19.51,731600,0.0146,0.0109,14273516.0,8712473.8
2004-04-15,19.55,19.65,19.0,19.6,569000,0.0026,0.0046,11152400.0,9079483.2
2004-04-16,19.59,19.96,19.5,19.76,610800,0.0087,0.0082,12069408.0,9643608.2
2004-04-19,20.03,20.09,19.7,19.99,1243700,-0.002,0.0116,24861563.0,9986628.6
2004-04-20,19.98,20.13,19.85,19.91,1383200,-0.0035,-0.004,27539512.0,11513919.3
2004-04-21,19.89,20.04,19.72,19.84,623600,-0.0025,-0.0035,12372224.0,13282522.9
2004-04-22,19.89,20.17,19.89,20.05,419600,0.008,0.0106,8412980.0,13972805.3
2004-04-23,20.07,20.12,19.85,19.94,412500,-0.0065,-0.0055,8225250.0,14123769.3
2004-04-26,20.03,20.17,19.95,20.16,444400,0.0065,0.011,8959104.0,14380068.9
2004-04-27,20.07,20.24,19.79,19.82,876100,-0.0125,-0.0169,17364302.0,14263045.7
2004-04-28,19.8,19.98,19.5,19.54,552000,-0.0131,-0.0141,10786080.0,14523025.9
