Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,73.0,73.57,72.78,73.49,2249800,0.0067,,165337802.0,
2003-12-02,73.35,73.35,72.81,72.84,2709700,-0.007,-0.0088,197374548.0,
2003-12-03,73.2,73.26,72.82,73.04,1665800,-0.0022,0.0027,121670032.0,
2003-12-04,73.04,73.83,72.9,73.58,2027500,0.0074,0.0074,149183450.0,
2003-12-05,73.59,73.79,73.06,73.22,1939700,-0.005,-0.0049,142024834.0,
2003-12-08,73.05,73.53,72.82,73.41,1201300,0.0049,0.0026,88187433.0,
2003-12-09,73.65,73.69,72.93,73.13,1384800,-0.0071,-0.0038,101270424.0,
2003-12-10,73.08,73.23,72.52,72.83,1143800,-0.0034,-0.0041,83302954.0,
2003-12-11,73.06,73.15,72.43,72.95,1910600,-0.0015,0.0016,139378270.0,
2003-12-12,72.93,73.59,72.82,73.39,1493000,0.0063,0.006,109571270.0,
2003-12-15,73.64,73.95,73.3,73.3,2210300,-0.0046,-0.0012,162014990.0,129730101.7
2003-12-16,73.48,73.79,73.34,73.64,1316900,0.0022,0.0046,96976516.0,129397820.5
2003-12-17,73.5,73.55,72.64,73.54,2846700,0.0005,-0.0014,209346318.0,119358017.3
2003-12-18,73.54,73.62,72.96,73.54,2617100,0.0,0.0,192461534.0,128125645.9
2003-12-19,73.64,73.75,73.31,73.74,2210400,0.0014,0.0027,162994896.0,132453454.3
2003-12-22,73.79,74.31,73.77,74.26,2027700,0.0064,0.0071,150577002.0,134550460.5
2003-12-23,74.25,74.82,74.04,74.44,1852900,0.0026,0.0024,137929876.0,140789417.4
2003-12-24,74.4,74.45,74.06,74.45,623300,0.0007,0.0001,46404685.0,144455362.6
2003-12-26,74.44,74.74,74.44,74.66,446500,0.003,0.0028,33335690.0,140765535.7
2003-12-29,74.73,74.87,74.17,74.81,1355300,0.0011,0.002,101389993.0,130161277.7
2003-12-30,74.81,74.84,73.92,74.15,1748300,-0.0088,-0.0088,129636445.0,129343150.0
2003-12-31,74.11,74.75,73.99,74.55,1933100,0.0059,0.0054,144112605.0,126105295.5
2004-01-02,73.2,74.8,73.15,73.65,2802800,0.0061,-0.0121,206426220.0,130818904.4
2004-01-05,73.85,74.0,73.4,73.93,2118300,0.0011,0.0038,156605919.0,130526894.6
2004-01-06,73.93,73.93,72.96,73.48,1895900,-0.0061,-0.0061,139310732.0,126941333.1
2004-01-07,73.3,73.35,72.82,73.24,2484500,-0.0008,-0.0033,181964780.0,124572916.7
2004-01-08,73.32,73.38,72.41,72.64,2748300,-0.0093,-0.0082,199636512.0,127711694.5
2004-01-09,72.43,72.58,71.56,71.88,3285200,-0.0076,-0.0105,236140176.0,133882358.1
2004-01-12,72.0,72.54,71.95,72.22,2727300,0.0031,0.0047,196965606.0,152855907.2
2004-01-13,72.22,72.39,71.53,71.91,1957200,-0.0043,-0.0043,140742252.0,169218898.8
2004-01-14,72.04,72.66,72.04,72.46,2421100,0.0058,0.0076,175432906.0,173154124.7
2004-01-15,72.5,72.65,72.04,72.34,1934900,-0.0022,-0.0017,139970666.0,177733770.8
2004-01-16,72.49,73.0,72.4,73.0,2076200,0.007,0.0091,151562600.0,177319576.9
2004-01-20,72.8,72.82,71.97,72.1,2289300,-0.0096,-0.0123,165058530.0,171833214.9
2004-01-21,72.11,72.49,72.1,72.3,2413400,0.0026,0.0028,174488820.0,172678476.0
2004-01-22,72.3,72.4,71.85,72.33,2260600,0.0004,0.0004,163509198.0,176196284.8
2004-01-23,72.33,72.54,72.0,72.28,1860300,-0.0007,-0.0007,134462484.0,174350726.6
2004-01-26,72.28,73.14,72.17,73.06,2033400,0.0108,0.0108,148560204.0,167833323.8
2004-01-27,73.06,73.33,72.5,72.79,2184800,-0.0037,-0.0037,159031592.0,159075326.6
2004-01-28,72.87,73.01,72.11,72.44,2091800,-0.0059,-0.0048,151529992.0,155281925.2
2004-01-29,72.44,72.63,71.73,72.51,2910200,0.001,0.001,211018602.0,156360699.2
2004-01-30,72.05,72.15,71.27,71.27,2303000,-0.0108,-0.0171,164134810.0,159919268.8
