Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,8.48,8.64,8.16,8.23,7300,-0.0295,,60079.0,
2003-12-02,8.27,8.32,8.15,8.15,4800,-0.0145,-0.0097,39120.0,
2003-12-03,8.18,8.19,8.05,8.05,6200,-0.0159,-0.0123,49910.0,
2003-12-04,7.93,8.09,7.93,8.03,8000,0.0126,-0.0025,64240.0,
2003-12-05,7.97,8.16,7.86,8.05,11500,0.01,0.0025,92575.0,
2003-12-08,8.11,8.15,8.05,8.1,26200,-0.0012,0.0062,212220.0,
2003-12-09,8.25,8.25,7.96,8.1,169600,-0.0182,0.0,1373760.0,
2003-12-10,8.1,8.3,8.08,8.15,16200,0.0062,0.0062,132030.0,
2003-12-11,8.1,8.23,8.1,8.16,41800,0.0074,0.0012,341088.0,
2003-12-12,8.33,9.45,8.33,9.3,243900,0.1164,0.1397,2268270.0,
2003-12-15,9.74,10.5,9.58,10.5,157700,0.078,0.129,1655850.0,463329.2
2003-12-16,10.02,10.2,9.83,9.95,28600,-0.007,-0.0524,284570.0,622906.3
2003-12-17,10.13,10.87,9.9,10.36,67100,0.0227,0.0412,695156.0,647451.3
2003-12-18,10.32,10.45,10.01,10.06,23300,-0.0252,-0.029,234398.0,711975.9
2003-12-19,9.57,10.05,9.56,10.0,15000,0.0449,-0.006,150000.0,728991.7
2003-12-22,10.03,10.05,9.89,9.89,13300,-0.014,-0.011,131537.0,734734.2
2003-12-23,9.91,11.2,9.91,11.05,79700,0.115,0.1173,880685.0,726665.9
2003-12-24,11.3,11.73,10.55,10.85,75000,-0.0398,-0.0181,813750.0,677358.4
2003-12-26,10.61,11.37,10.6,11.2,34600,0.0556,0.0323,387520.0,745530.4
2003-12-29,11.44,11.44,10.93,11.25,37700,-0.0166,0.0045,424125.0,750173.6
2003-12-30,11.0,11.1,10.9,10.9,13200,-0.0091,-0.0311,143880.0,565759.1
2003-12-31,10.8,10.9,10.7,10.8,20000,0.0,-0.0092,216000.0,414562.1
2004-01-02,10.82,11.5,10.71,11.0,22800,0.0166,0.0185,250800.0,407705.1
2004-01-05,11.49,11.49,10.25,10.38,34800,-0.0966,-0.0564,361224.0,363269.5
2004-01-06,10.25,10.75,10.25,10.31,42200,0.0059,-0.0067,435082.0,375952.1
2004-01-07,10.3,10.75,9.55,10.05,37700,-0.0243,-0.0252,378885.0,404460.3
2004-01-08,9.85,10.0,9.68,9.68,24700,-0.0173,-0.0368,239096.0,429195.1
2004-01-09,9.56,10.0,9.56,10.0,13600,0.046,0.0331,136000.0,365036.2
2004-01-12,9.56,10.1,9.36,9.95,21900,0.0408,-0.005,217905.0,297261.2
