Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2016-05-26,24.25,25.09,24.08,24.91,28799000,0.0272,,717383090.0,
2016-05-27,25.0,25.25,24.7,25.03,2872400,0.0012,0.0048,71896172.0,
2016-05-31,25.06,25.09,24.6,24.99,1689500,-0.0028,-0.0016,42220605.0,
2016-06-01,24.99,25.38,24.75,25.35,1418400,0.0144,0.0144,35956440.0,
2016-06-02,25.06,25.44,25.04,25.28,786300,0.0088,-0.0028,19877664.0,
2016-06-03,25.13,25.45,25.0,25.29,418900,0.0064,0.0004,10593981.0,
2016-06-06,25.39,25.45,25.25,25.31,488700,-0.0032,0.0008,12368997.0,
2016-06-07,25.46,25.64,25.15,25.4,635800,-0.0024,0.0036,16149320.0,
2016-06-08,25.35,25.59,25.18,25.22,303300,-0.0051,-0.0071,7649226.0,
2016-06-09,25.16,25.18,24.7,24.95,459200,-0.0083,-0.0107,11457040.0,
2016-06-10,24.54,24.9,24.54,24.72,589500,0.0073,-0.0092,14572440.0,94555253.5
2016-06-13,24.4,24.62,24.11,24.28,1195200,-0.0049,-0.0178,29019456.0,24274188.5
2016-06-14,24.11,24.19,23.32,23.67,1912100,-0.0182,-0.0251,45259407.0,19986516.9
2016-06-15,23.5,24.07,23.5,23.99,975000,0.0209,0.0135,23390250.0,20290397.1
2016-06-16,23.66,24.08,23.58,23.74,1154400,0.0034,-0.0104,27405456.0,19033778.1
2016-06-17,23.75,24.05,23.4,23.96,884200,0.0088,0.0093,21185432.0,19786557.3
2016-06-20,24.56,24.65,23.53,23.56,1797300,-0.0407,-0.0167,42344388.0,20845702.4
2016-06-21,23.7,24.17,23.58,23.89,818600,0.008,0.014,19556354.0,23843241.5
2016-06-22,23.89,23.94,23.5,23.57,1428100,-0.0134,-0.0134,33660317.0,24183944.9
2016-06-23,23.72,23.85,23.08,23.18,1753500,-0.0228,-0.0165,40646130.0,26785054.0
2016-06-24,22.86,23.64,22.51,23.34,4013900,0.021,0.0069,93684426.0,29703963.0
2016-06-27,23.1,24.2,23.06,23.76,1639900,0.0286,0.018,38964024.0,37615161.6
2016-06-28,23.97,24.33,23.7,24.23,1474400,0.0108,0.0198,35724712.0,38609618.4
2016-06-29,24.18,24.42,24.01,24.39,927300,0.0087,0.0066,22616847.0,37656148.9
2016-06-30,24.37,24.46,23.89,24.24,841400,-0.0053,-0.0062,20395536.0,37578808.6
2016-07-01,24.19,24.91,23.82,24.48,852700,0.012,0.0099,20874096.0,36877816.6
2016-07-05,24.49,24.58,24.17,24.21,330700,-0.0114,-0.011,8006247.0,36846683.0
2016-07-06,24.15,25.04,24.01,24.95,370300,0.0331,0.0306,9238985.0,33412868.9
2016-07-07,24.96,25.2,24.81,25.02,400100,0.0024,0.0028,10010502.0,32381132.0
2016-07-08,25.11,25.42,25.02,25.08,232300,-0.0012,0.0024,5826084.0,30016150.5
2016-07-11,25.11,25.6,24.97,25.4,539300,0.0115,0.0128,13698220.0,26534145.9
2016-07-12,25.35,25.58,25.27,25.43,357600,0.0032,0.0012,9093768.0,18535525.3
2016-07-13,25.4,25.6,25.06,25.5,456500,0.0039,0.0028,11640750.0,15548499.7
2016-07-14,25.54,25.83,25.13,25.41,413200,-0.0051,-0.0035,10499412.0,13140103.5
2016-07-15,25.41,25.59,24.78,24.92,739500,-0.0193,-0.0193,18428340.0,11928360.0
2016-07-18,24.97,25.6,24.94,25.3,205200,0.0132,0.0152,5191560.0,11731640.4
2016-07-19,25.29,25.5,25.17,25.29,214500,0.0,-0.0004,5424705.0,10163386.8
2016-07-20,25.36,25.54,25.17,25.44,249100,0.0032,0.0059,6337104.0,9905232.6
2016-07-21,25.4,25.65,25.24,25.48,592100,0.0031,0.0016,15086708.0,9615044.5
2016-07-22,25.54,25.55,25.1,25.1,349800,-0.0172,-0.0149,8779980.0,10122665.1
2016-07-25,25.07,25.17,24.72,24.85,226100,-0.0088,-0.01,5618585.0,10418054.7
