Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2020-01-17,13.85,14.25,13.4,13.51,3438500,-0.0245,,46454135.0,
2020-01-21,13.52,14.25,13.3,14.11,352000,0.0436,0.0444,4966720.0,
2020-01-22,14.16,14.25,13.8,14.05,246800,-0.0078,-0.0043,3467540.0,
2020-01-23,14.1,14.1,13.89,13.89,58500,-0.0149,-0.0114,812565.0,
2020-01-24,13.91,14.03,13.17,13.64,139500,-0.0194,-0.018,1902780.0,
2020-01-27,13.6,14.0,13.24,13.99,63200,0.0287,0.0257,884168.0,
2020-01-28,14.11,14.11,13.92,13.96,102500,-0.0106,-0.0021,1430900.0,
2020-01-29,14.12,14.25,13.93,14.12,92000,0.0,0.0115,1299040.0,
2020-01-30,14.21,14.25,14.0,14.25,65300,0.0028,0.0092,930525.0,
2020-01-31,14.25,14.25,14.09,14.21,157600,-0.0028,-0.0028,2239496.0,
2020-02-03,14.25,14.25,13.93,13.99,77300,-0.0182,-0.0155,1081427.0,6438786.9
2020-02-04,14.19,14.19,13.68,14.07,109300,-0.0085,0.0057,1537851.0,1901516.1
2020-02-05,13.96,13.97,13.68,13.78,63100,-0.0129,-0.0206,869518.0,1558629.2
2020-02-06,13.74,14.27,13.7,13.99,79500,0.0182,0.0152,1112205.0,1298827.0
2020-02-07,13.99,14.25,13.78,13.99,107100,0.0,0.0,1498329.0,1328791.0
2020-02-10,13.86,13.95,13.52,13.85,70200,-0.0007,-0.01,972270.0,1288345.9
2020-02-11,13.96,14.17,13.89,14.17,256700,0.015,0.0231,3637439.0,1297156.1
2020-02-12,14.25,14.27,14.02,14.26,115600,0.0007,0.0064,1648456.0,1517810.0
2020-02-13,14.27,14.7,14.22,14.48,101400,0.0147,0.0154,1468272.0,1552751.6
2020-02-14,14.59,14.72,14.26,14.43,46900,-0.011,-0.0035,676767.0,1606526.3
2020-02-18,14.55,14.55,13.77,14.38,74900,-0.0117,-0.0035,1077062.0,1450253.4
2020-02-19,14.49,14.69,14.43,14.43,133900,-0.0041,0.0035,1932177.0,1449816.9
2020-02-20,14.33,14.9,14.33,14.64,82900,0.0216,0.0146,1213656.0,1489249.5
2020-02-21,14.55,14.66,14.3,14.39,33500,-0.011,-0.0171,482065.0,1523663.3
2020-02-24,14.26,14.32,13.88,14.05,42200,-0.0147,-0.0236,592910.0,1460649.3
2020-02-25,14.11,14.33,13.5,14.18,134600,0.005,0.0093,1908628.0,1370107.4
2020-02-26,14.11,14.35,13.91,14.15,80200,0.0028,-0.0021,1134830.0,1463743.2
2020-02-27,13.86,14.09,13.52,13.62,74200,-0.0173,-0.0375,1010604.0,1213482.3
2020-02-28,13.45,13.54,11.62,13.4,257800,-0.0037,-0.0162,3454520.0,1149697.1
2020-03-02,13.25,14.25,12.95,13.8,98100,0.0415,0.0299,1353780.0,1348321.9
2020-03-03,13.78,13.99,13.36,13.84,59600,0.0044,0.0029,824864.0,1416023.2
2020-03-04,13.99,14.01,13.7,13.87,110900,-0.0086,0.0022,1538183.0,1390803.4
2020-03-05,13.69,13.69,12.56,12.7,62300,-0.0723,-0.0844,791210.0,1351404.0
2020-03-06,12.37,12.79,12.34,12.78,47700,0.0331,0.0063,609606.0,1309159.4
2020-03-09,11.78,11.83,10.6,11.31,93000,-0.0399,-0.115,1051830.0,1321913.5
