Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2020-10-19,9.7,9.7,9.7,9.7,50000,0.0,,485000.0,
2020-10-20,9.7,9.7,9.7,9.7,0,0.0,0.0,0.0,
2020-10-21,9.69,9.69,9.69,9.69,100,0.0,-0.001,969.0,
2020-10-22,9.69,9.69,9.69,9.69,0,0.0,0.0,0.0,
2020-10-23,9.69,9.69,9.65,9.69,6700,0.0,0.0,64923.0,
2020-10-26,9.81,10.51,9.6,9.77,428400,-0.0041,0.0083,4185468.0,
2020-10-27,9.68,9.75,9.68,9.75,1300,0.0072,-0.002,12675.0,
2020-10-28,9.68,9.68,9.68,9.68,100,0.0,-0.0072,968.0,
2020-10-29,9.6,9.74,9.6,9.7,1700,0.0104,0.0021,16490.0,
2020-10-30,9.7,9.7,9.7,9.7,0,0.0,0.0,0.0,
2020-11-02,9.7,9.7,9.7,9.7,0,0.0,0.0,0.0,476649.3
2020-11-03,9.61,9.74,9.61,9.69,2200,0.0083,-0.001,21318.0,428149.3
2020-11-04,9.69,9.69,9.69,9.69,0,0.0,0.0,0.0,430281.1
2020-11-05,9.67,9.69,9.65,9.67,5200,0.0,-0.0021,50284.0,430184.2
2020-11-06,9.72,9.72,9.69,9.69,1000,-0.0031,0.0021,9690.0,435212.6
2020-11-09,9.8,9.8,9.7,9.7,78800,-0.0102,0.001,764360.0,429689.3
2020-11-10,9.69,9.74,9.69,9.74,352700,0.0052,0.0041,3435298.0,87578.5
2020-11-11,9.74,9.74,9.74,9.74,0,0.0,0.0,0.0,429840.8
2020-11-12,9.79,9.83,9.66,9.83,809600,0.0041,0.0092,7958368.0,429744.0
2020-11-13,9.85,9.95,9.78,9.8,11300,-0.0051,-0.0031,110740.0,1223931.8
2020-11-16,9.8,10.0,9.8,10.0,315500,0.0204,0.0204,3155000.0,1235005.8
2020-11-17,10.0,10.0,9.75,9.92,66100,-0.008,-0.008,655712.0,1550505.8
2020-11-18,9.9,9.94,9.9,9.9,59800,0.0,-0.002,592020.0,1613945.2
2020-11-19,9.95,10.1,9.9,9.9,275000,-0.005,0.0,2722500.0,1673147.2
2020-11-20,9.9,10.41,9.89,9.98,84900,0.0081,0.0081,847302.0,1940368.8
2020-11-23,10.0,10.18,9.89,9.96,303000,-0.004,-0.002,3017880.0,2024130.0
2020-11-24,9.96,10.0,9.95,9.95,27900,-0.001,-0.001,277605.0,2249482.0
2020-11-25,9.95,9.95,9.95,9.95,100,0.0,0.0,995.0,1933712.7
2020-11-27,10.02,10.05,9.9,10.01,6500,-0.001,0.006,65065.0,1933812.2
2020-11-30,10.13,10.13,9.95,9.98,888400,-0.0148,-0.003,8866232.0,1144481.9
