Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-01-19,5.42,5.64,5.4,5.64,8,0.0406,,45.12,
2021-01-20,5.64,5.64,5.53,5.64,26,0.0,0.0,146.64,
2021-01-21,5.64,5.64,5.64,5.64,3,0.0,0.0,16.92,
2021-01-22,5.4,5.64,4.68,5.64,64,0.0444,0.0,360.96,
2021-01-25,5.64,5.64,4.75,4.8,59,-0.1489,-0.1489,283.2,
2021-01-26,4.8,4.8,4.8,4.8,4,0.0,0.0,19.2,
2021-01-27,5.64,7.32,4.45,5.64,243,0.0,0.175,1370.52,
2021-01-28,6.0,8.4,6.0,7.8,201,0.3,0.383,1567.8,
2021-01-29,7.2,11.86,6.6,11.86,505,0.6472,0.5205,5989.3,
2021-02-01,11.81,14.88,11.81,14.4,351,0.2193,0.2142,5054.4,
2021-02-02,14.4,16.2,14.4,14.68,94,0.0194,0.0194,1379.92,1485.41
2021-02-03,14.64,14.64,10.8,14.64,69,0.0,-0.0027,1010.16,1618.89
2021-02-04,14.64,16.56,12.6,15.0,97,0.0246,0.0246,1455.0,1705.24
2021-02-05,15.0,15.0,15.0,15.0,35,0.0,0.0,525.0,1849.05
2021-02-08,15.0,17.16,15.0,16.2,119,0.08,0.08,1927.8,1865.45
2021-02-09,17.16,17.16,13.2,13.2,45,-0.2308,-0.1852,594.0,2029.91
2021-02-10,14.4,16.68,9.0,14.4,267,0.0,0.0909,3844.8,2087.39
2021-02-11,10.2,15.6,10.2,13.8,634,0.3529,-0.0417,8749.2,2334.82
2021-02-12,11.2,14.52,9.04,13.92,185,0.2429,0.0087,2575.2,3052.96
2021-02-16,14.16,14.4,12.0,13.08,301,-0.0763,-0.0603,3937.08,2711.55
2021-02-17,72.0,96.0,60.0,76.8,47025,0.0667,4.8716,3611520.0,2599.82
2021-02-18,64.8,72.0,57.84,63.72,17942,-0.0167,-0.1703,1143264.24,363613.82
2021-02-19,64.56,65.16,60.72,61.2,11517,-0.052,-0.0395,704840.4,477839.23
2021-02-22,61.2,63.22,60.96,61.44,6808,0.0039,0.0039,418283.52,548177.77
2021-02-23,60.12,61.44,58.32,58.44,6242,-0.0279,-0.0488,364782.48,589953.62
2021-02-24,60.24,61.44,58.44,60.0,3558,-0.004,0.0267,213480.0,626239.09
2021-02-25,60.0,62.88,53.52,53.52,5300,-0.108,-0.108,283656.0,647527.69
2021-02-26,54.0,55.92,51.12,53.04,2025,-0.0178,-0.009,107406.0,675508.81
2021-03-01,52.56,56.64,51.12,51.12,2267,-0.0274,-0.0362,115889.04,685374.49
2021-03-02,51.12,55.92,51.0,51.12,16058,0.0,0.0,820884.96,696705.88
2021-03-03,53.4,56.52,51.0,51.42,10192,-0.0371,0.0059,524072.64,778400.66
2021-03-04,51.6,51.6,40.32,43.08,3933,-0.1651,-0.1622,169433.64,469655.93
2021-03-05,42.84,44.64,36.36,40.56,3442,-0.0532,-0.0585,139607.52,372272.87
2021-03-08,45.6,58.8,45.6,51.6,13417,0.1316,0.2722,692317.2,315749.58
2021-03-09,51.72,55.2,49.2,53.88,5275,0.0418,0.0442,284217.0,343152.95
2021-03-10,52.2,53.22,45.6,50.4,4500,-0.0345,-0.0646,226800.0,335096.4
2021-03-11,46.08,50.4,43.2,47.16,2325,0.0234,-0.0643,109647.0,336428.4
2021-03-12,51.0,51.0,48.0,48.24,2525,-0.0541,0.0229,121806.0,319027.5
2021-03-15,50.64,59.64,48.0,56.28,14525,0.1114,0.1667,817467.0,320467.5
2021-03-16,57.72,60.6,53.88,57.0,18217,-0.0125,0.0128,1038369.0,390625.3
2021-03-17,59.28,68.16,57.24,66.0,29000,0.1134,0.1579,1914000.0,412373.7
2021-03-18,66.0,66.0,60.26,60.72,9150,-0.08,-0.08,555588.0,551366.44
2021-03-19,60.72,63.6,59.4,60.36,3100,-0.0059,-0.0059,187116.0,589981.87
2021-03-22,61.2,63.0,57.47,59.28,2717,-0.0314,-0.0179,161063.76,594732.72
2021-03-23,59.4,60.5,55.8,57.0,2167,-0.0404,-0.0385,123519.0,541607.38
2021-03-24,56.76,58.44,51.6,52.8,2192,-0.0698,-0.0737,115737.6,525537.58
2021-03-25,52.08,52.44,45.6,50.76,2408,-0.0253,-0.0386,122230.08,514431.34
2021-03-26,50.4,51.36,49.56,51.24,775,0.0167,0.0095,39711.0,515689.64
2021-03-29,53.04,53.04,48.24,48.72,1175,-0.0814,-0.0492,57246.0,507480.14
2021-03-30,50.64,50.64,47.58,49.08,2525,-0.0308,0.0074,123927.0,431458.04
2021-03-31,48.84,56.35,42.0,42.12,3150,-0.1376,-0.1418,132678.0,340013.84
2021-04-01,46.56,50.28,45.72,46.2,2367,-0.0077,0.0969,109355.4,161881.64
2021-04-05,48.48,53.6,46.32,51.84,4000,0.0693,0.1221,207360.0,117258.38
2021-04-06,52.2,52.32,48.0,49.2,2308,-0.0575,-0.0509,113553.6,119282.78
2021-04-07,48.24,50.4,48.0,48.0,975,-0.005,-0.0244,46800.0,114531.77
2021-04-08,49.44,55.8,48.0,51.72,4608,0.0461,0.0775,238325.76,106859.87
2021-04-09,50.45,50.51,49.2,49.44,467,-0.02,-0.0441,23088.48,119118.68
2021-04-12,50.88,52.21,47.4,47.4,667,-0.0684,-0.0413,31615.8,109204.52
2021-04-13,48.42,50.28,43.8,43.8,4000,-0.0954,-0.0759,175200.0,108395.0
2021-04-14,45.6,50.4,44.59,47.28,1283,0.0368,0.0795,60660.24,120190.4
2021-04-15,45.96,46.74,43.32,45.96,758,0.0,-0.0279,34837.68,113863.73
2021-04-16,44.52,45.84,42.12,42.36,942,-0.0485,-0.0783,39903.12,104079.7
2021-04-19,44.4,46.2,40.92,43.2,3350,-0.027,0.0198,144720.0,97134.47
2021-04-20,45.12,45.49,40.2,42.84,1750,-0.0505,-0.0083,74970.0,90870.47
2021-04-21,40.8,42.48,39.6,41.76,642,0.0235,-0.0252,26809.92,87012.11
2021-04-22,41.88,46.2,41.88,43.2,3075,0.0315,0.0345,132840.0,85013.1
2021-04-23,44.4,45.6,42.0,43.6,500,-0.018,0.0093,21800.0,74464.52
2021-04-26,43.32,45.96,42.0,45.44,350,0.0489,0.0422,15904.0,74335.68
2021-04-27,45.6,45.6,42.12,44.77,525,-0.0182,-0.0147,23504.25,72764.5
2021-04-28,44.04,45.62,43.37,44.4,308,0.0082,-0.0083,13675.2,57594.92
2021-04-29,43.68,45.96,43.68,45.12,467,0.033,0.0162,21071.04,52896.42
2021-04-30,44.99,56.28,43.54,52.09,108400,0.1578,0.1545,5646556.0,51519.75
2021-05-03,59.52,65.4,46.08,47.16,169658,-0.2077,-0.0946,8001071.28,612185.04
2021-05-04,46.68,61.8,45.11,52.56,82942,0.126,0.1145,4359431.52,1397820.17
2021-05-05,48.6,52.56,47.04,49.2,14525,0.0123,-0.0639,714630.0,1826266.32
2021-05-06,46.44,49.08,43.68,44.16,12392,-0.0491,-0.1024,547230.72,1895048.33
2021-05-07,44.52,51.6,44.16,49.68,21583,0.1159,0.125,1072243.44,1936487.4
2021-05-10,45.48,51.48,45.48,50.64,14900,0.1135,0.0193,754536.0,2041531.74
2021-05-11,47.64,52.44,46.92,48.96,15558,0.0277,-0.0332,761719.68,2115394.94
2021-05-12,49.8,58.92,48.0,54.0,109617,0.0843,0.1029,5919318.0,2189216.49
2021-05-13,54.24,54.96,46.92,47.64,21533,-0.1217,-0.1178,1025832.12,2779780.77
2021-05-14,47.64,50.04,46.07,48.6,9008,0.0202,0.0202,437788.8,2880256.88
2021-05-17,48.0,48.48,45.91,47.16,4458,-0.0175,-0.0296,210239.28,2359380.16
2021-05-18,46.32,46.68,44.16,46.32,3358,0.0,-0.0178,155542.56,1580296.96
2021-05-19,44.4,45.24,38.64,41.16,12383,-0.073,-0.1114,509684.28,1159908.06
2021-05-20,41.76,41.76,40.2,40.92,3817,-0.0201,-0.0058,156191.64,1139413.49
2021-05-21,41.59,42.36,40.2,41.64,2567,0.0012,0.0176,106889.88,1100309.58
2021-05-24,41.88,44.76,40.2,44.16,8675,0.0544,0.0605,383088.0,1003774.22
2021-05-25,43.32,44.52,41.64,42.36,4017,-0.0222,-0.0408,170160.12,966629.42
2021-05-26,42.28,45.25,42.0,43.44,9133,0.0274,0.0255,396737.52,907473.47
2021-05-27,43.2,43.2,41.64,42.36,2833,-0.0194,-0.0249,120005.88,355215.42
2021-05-28,41.52,43.56,40.8,42.6,4158,0.026,0.0057,177130.8,264632.8
2021-06-01,44.04,45.96,41.4,44.64,20467,0.0136,0.0479,913646.88,238567.0
2021-06-02,43.2,49.08,42.84,44.04,61225,0.0194,-0.0134,2696349.0,308907.76
2021-06-03,43.92,45.0,42.12,43.92,8300,0.0,-0.0027,364536.0,562988.4
2021-06-04,43.68,47.52,43.56,45.72,22975,0.0467,0.041,1050417.0,548473.57
2021-06-07,46.32,46.8,44.03,45.6,8358,-0.0155,-0.0026,381124.8,637896.11
2021-06-08,46.56,53.28,45.72,48.6,38350,0.0438,0.0658,1863810.0,665319.6
2021-06-09,48.48,55.2,47.52,49.92,35775,0.0297,0.0272,1785888.0,813391.8
2021-06-10,49.08,50.28,47.4,48.84,4758,-0.0049,-0.0216,232380.72,974964.59
2021-06-11,49.08,49.92,47.4,49.08,2075,0.0,0.0049,101841.0,958528.91
2021-06-14,49.2,52.2,48.24,48.24,7183,-0.0195,-0.0171,346507.92,956712.42
2021-06-15,49.2,51.6,48.12,49.08,9417,-0.0024,0.0174,462186.36,973650.13
2021-06-16,51.24,108.36,51.0,95.76,2423017,0.8689,0.9511,232028107.92,928504.08
2021-06-17,69.36,91.08,66.0,72.24,963967,0.0415,-0.2456,69636976.08,23861679.97
2021-06-18,69.6,86.28,66.6,71.4,495433,0.0259,-0.0116,35373916.2,30788923.98
2021-06-21,70.8,92.04,68.88,71.4,488617,0.0085,0.0,34887253.8,34221273.9
2021-06-22,72.13,76.44,63.24,67.44,140233,-0.065,-0.0555,9457313.52,37671886.8
2021-06-23,68.88,71.88,61.56,63.0,56633,-0.0854,-0.0658,3567879.0,38431237.15
2021-06-24,63.6,71.52,61.2,69.12,125742,0.0868,0.0971,8691287.04,38609436.25
2021-06-25,66.72,69.24,62.4,64.08,37692,-0.0396,-0.0729,2415303.36,39455326.88
2021-06-28,65.04,78.0,63.24,73.2,141000,0.1255,0.1423,10321200.0,39686673.12
2021-06-29,73.2,82.8,66.12,68.4,142317,-0.0656,-0.0656,9734482.8,40684142.33
2021-06-30,65.76,67.87,61.56,61.56,53283,-0.0639,-0.1,3280101.48,41611371.97
2021-07-01,63.0,63.48,56.64,56.88,49025,-0.0971,-0.076,2788542.0,18736571.33
2021-07-02,58.2,62.88,53.76,57.48,82983,-0.0124,0.0105,4769862.84,12051727.92
2021-07-06,55.92,60.6,55.92,56.76,40833,0.015,-0.0125,2317681.08,8991322.58
2021-07-07,55.92,56.64,50.64,53.52,46725,-0.0429,-0.0571,2500722.0,5734365.31
2021-07-08,51.48,57.6,49.68,52.68,55567,0.0233,-0.0157,2927269.56,5038706.16
2021-07-09,51.0,55.56,49.2,54.96,64008,0.0776,0.0433,3517879.68,4974645.22
2021-07-12,54.6,54.6,49.44,52.44,67092,-0.0396,-0.0459,3518304.48,4457304.48
2021-07-13,52.56,52.56,48.0,48.72,87275,-0.0731,-0.0709,4252038.0,4567604.59
