Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-01-28,17.7,17.89,16.27,16.9,5935100,-0.0452,,100303190.0,
2021-01-29,16.55,17.53,15.0,17.05,1631600,0.0302,0.0089,27818780.0,
2021-02-01,17.1,18.5,17.1,18.33,935800,0.0719,0.0751,17153214.0,
2021-02-02,18.0,18.95,17.7,18.37,926700,0.0206,0.0022,17023479.0,
2021-02-03,18.36,18.8,18.0,18.4,637400,0.0022,0.0016,11728160.0,
2021-02-04,18.45,19.46,18.01,19.12,330700,0.0363,0.0391,6322984.0,
2021-02-05,19.0,19.13,18.39,18.75,417000,-0.0132,-0.0194,7818750.0,
2021-02-08,18.78,19.13,18.44,18.81,344300,0.0016,0.0032,6476283.0,
2021-02-09,18.62,18.94,18.42,18.43,110800,-0.0102,-0.0202,2042044.0,
2021-02-10,18.41,18.89,18.07,18.6,83500,0.0103,0.0092,1553100.0,
2021-02-11,18.58,18.8,18.34,18.5,185700,-0.0043,-0.0054,3435450.0,19823998.4
2021-02-12,18.5,18.81,18.27,18.59,198600,0.0049,0.0049,3691974.0,10137224.4
2021-02-16,18.68,19.14,18.36,18.65,228100,-0.0016,0.0032,4254065.0,7724543.8
2021-02-17,18.55,18.6,17.5,18.0,93400,-0.0296,-0.0349,1681200.0,6434628.9
2021-02-18,18.1,18.48,17.81,17.97,32500,-0.0072,-0.0017,584025.0,4900401.0
2021-02-19,18.39,19.45,17.13,19.4,436100,0.0549,0.0796,8460340.0,3785987.5
2021-02-22,17.78,19.21,17.5,17.51,499800,-0.0152,-0.0974,8751498.0,3999723.1
2021-02-23,17.54,18.0,16.63,17.19,260000,-0.02,-0.0183,4469400.0,4092997.9
2021-02-24,17.19,18.6,16.4,16.71,208400,-0.0279,-0.0279,3482364.0,3892309.6
2021-02-25,16.79,17.3,15.5,15.61,344900,-0.0703,-0.0658,5383889.0,4036341.6
2021-02-26,15.54,16.42,14.53,15.67,514600,0.0084,0.0038,8063782.0,4419420.5
2021-03-01,15.99,17.19,15.83,16.76,544900,0.0482,0.0696,9132524.0,4882253.7
2021-03-02,18.55,18.67,16.22,16.28,652700,-0.1224,-0.0286,10625956.0,5426308.7
2021-03-03,16.75,17.25,15.98,15.99,341400,-0.0454,-0.0178,5458986.0,6063497.8
2021-03-04,15.77,16.77,15.45,16.44,192800,0.0425,0.0281,3169632.0,6441276.4
2021-03-05,16.41,17.65,16.0,17.19,165600,0.0475,0.0456,2846664.0,6699837.1
2021-03-08,17.25,17.45,15.59,15.64,199400,-0.0933,-0.0902,3118616.0,6138469.5
2021-03-09,15.7,15.89,14.49,14.63,444400,-0.0682,-0.0646,6501572.0,5575181.3
2021-03-10,14.9,15.69,14.31,14.79,384500,-0.0074,0.0109,5686755.0,5778398.5
2021-03-11,14.9,15.41,14.55,14.9,104400,0.0,0.0074,1555560.0,5998837.6
2021-03-12,14.7,14.82,14.26,14.53,193600,-0.0116,-0.0248,2813008.0,5616004.7
2021-03-15,14.5,15.1,14.3,15.04,67200,0.0372,0.0351,1010688.0,5090927.3
2021-03-16,15.01,15.38,15.01,15.12,42000,0.0073,0.0053,635040.0,4278743.7
2021-03-17,15.2,15.77,15.06,15.59,161500,0.0257,0.0311,2517785.0,3279652.1
2021-03-18,15.21,15.5,14.0,14.81,333200,-0.0263,-0.05,4934692.0,2985532.0
2021-03-19,14.8,14.8,13.3,14.0,816100,-0.0541,-0.0547,11425400.0,3162038.0
2021-03-22,14.24,14.24,13.42,13.95,154700,-0.0204,-0.0036,2158065.0,4019911.6
2021-03-23,13.9,14.11,13.66,13.7,213400,-0.0144,-0.0179,2923580.0,3923856.5
