Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2009-09-03,50.0,50.0,50.0,50.0,33,0.0,,1650.0,
2009-09-04,50.0,50.0,50.0,50.0,33,0.0,0.0,1650.0,
2009-09-08,50.0,50.0,50.0,50.0,0,0.0,0.0,0.0,
2009-09-09,50.0,50.0,50.0,50.0,33,0.0,0.0,1650.0,
2009-09-10,50.0,50.0,50.0,50.0,0,0.0,0.0,0.0,
2009-09-11,50.0,50.0,50.0,50.0,0,0.0,0.0,0.0,
2009-09-14,50.0,50.0,50.0,50.0,33,0.0,0.0,1650.0,
2009-09-15,50.0,50.0,50.0,50.0,33,0.0,0.0,1650.0,
2009-09-16,50.0,50.0,50.0,50.0,33,0.0,0.0,1650.0,
2009-09-17,50.0,50.0,50.0,50.0,33,0.0,0.0,1650.0,
2009-09-18,50.0,55.0,50.0,55.0,33,0.1,0.1,1815.0,1155.0
2009-09-21,55.0,55.0,55.0,55.0,33,0.0,0.0,1815.0,1171.5
2009-09-22,55.0,55.0,55.0,55.0,33,0.0,0.0,1815.0,1188.0
2009-09-23,55.0,55.0,55.0,55.0,33,0.0,0.0,1815.0,1369.5
2009-09-24,55.0,60.0,55.0,60.0,33,0.0909,0.0909,1980.0,1386.0
2009-09-25,65.0,65.0,60.0,65.0,33,0.0,0.0833,2145.0,1584.0
2009-09-28,65.0,65.0,55.0,55.0,33,-0.1538,-0.1538,1815.0,1798.5
2009-09-29,55.0,67.9,55.0,60.0,33,0.0909,0.0909,1980.0,1815.0
2009-09-30,55.0,63.0,40.0,55.0,33,0.0,-0.0833,1815.0,1848.0
2009-10-01,59.0,59.0,50.0,52.0,33,-0.1186,-0.0545,1716.0,1864.5
2009-10-02,56.0,56.0,54.0,54.0,33,-0.0357,0.0385,1782.0,1871.1
2009-10-05,35.0,54.0,35.0,54.0,0,0.5429,0.0,0.0,1867.8
2009-10-06,54.0,54.0,49.0,49.0,33,-0.0926,-0.0926,1617.0,1686.3
2009-10-07,48.0,48.0,48.0,48.0,33,0.0,-0.0204,1584.0,1666.5
2009-10-08,48.0,48.0,48.0,48.0,33,0.0,0.0,1584.0,1643.4
2009-10-09,47.0,47.0,47.0,47.0,33,0.0,-0.0208,1551.0,1603.8
2009-10-12,40.0,50.0,35.0,49.0,33,0.225,0.0426,1617.0,1544.4
2009-10-13,35.0,49.0,35.0,49.0,33,0.4,0.0,1617.0,1524.6
2009-10-14,49.0,49.0,49.0,49.0,0,0.0,0.0,0.0,1488.3
2009-10-15,40.0,40.0,35.0,40.0,33,0.0,-0.1837,1320.0,1306.8
2009-10-16,40.0,40.0,40.0,40.0,0,0.0,0.0,0.0,1267.2
2009-10-19,40.0,40.0,40.0,40.0,33,0.0,0.0,1320.0,1089.0
2009-10-20,40.0,40.0,11.0,35.0,33,-0.125,-0.125,1155.0,1221.0
2009-10-21,20.0,30.2,17.0,30.2,33,0.51,-0.1371,996.6,1174.8
2009-10-22,30.0,30.0,30.0,30.0,33,0.0,-0.0066,990.0,1116.06
2009-10-23,30.0,30.0,30.0,30.0,0,0.0,0.0,0.0,1056.66
2009-10-26,30.0,30.0,30.0,30.0,0,0.0,0.0,0.0,901.56
2009-10-27,30.0,47.0,30.0,42.0,33,0.4,0.4,1386.0,739.86
2009-10-28,36.0,44.0,36.0,40.0,33,0.1111,-0.0476,1320.0,716.76
2009-10-29,42.0,50.0,42.0,50.0,33,0.1905,0.25,1650.0,848.76
2009-10-30,50.0,50.0,44.0,45.0,33,-0.1,-0.1,1485.0,881.76
2009-11-02,45.0,47.0,45.0,47.0,33,0.0444,0.0444,1551.0,1030.26
2009-11-03,61.2,61.2,50.0,50.0,33,-0.183,0.0638,1650.0,1053.36
2009-11-04,50.0,50.0,45.0,45.0,33,-0.1,-0.1,1485.0,1102.86
2009-11-05,47.0,47.0,47.0,47.0,33,0.0,0.0444,1551.0,1151.7
2009-11-06,47.0,47.0,40.0,45.0,33,-0.0426,-0.0426,1485.0,1207.8
2009-11-09,45.0,48.0,43.0,47.0,33,0.0444,0.0444,1551.0,1356.3
2009-11-10,47.0,49.0,46.0,49.0,33,0.0426,0.0426,1617.0,1511.4
2009-11-11,48.0,56.0,48.0,56.0,133,0.1667,0.1429,7448.0,1534.5
2009-11-12,63.0,63.0,40.0,58.0,200,-0.0794,0.0357,11600.0,2147.3
2009-11-13,54.0,59.0,45.0,55.0,133,0.0185,-0.0517,7315.0,3142.3
2009-11-16,55.0,55.0,48.0,51.0,33,-0.0727,-0.0727,1683.0,3725.3
2009-11-17,59.75,60.0,45.0,48.0,100,-0.1967,-0.0588,4800.0,3738.5
2009-11-18,50.0,54.0,45.0,46.9,67,-0.062,-0.0229,3142.3,4053.5
2009-11-19,50.0,50.0,43.0,44.0,100,-0.12,-0.0618,4400.0,4219.23
2009-11-20,45.0,48.0,35.0,41.4,133,-0.08,-0.0591,5506.2,4504.13
2009-11-23,40.0,43.0,32.0,35.0,33,-0.125,-0.1546,1155.0,4906.25
2009-11-24,33.02,39.0,29.0,36.0,67,0.0902,0.0286,2412.0,4866.65
2009-11-25,30.0,41.0,30.0,33.0,33,0.1,-0.0833,1089.0,4946.15
2009-11-27,33.0,39.0,30.0,30.0,33,-0.0909,-0.0909,990.0,4310.25
2009-11-30,30.0,33.0,22.0,30.0,67,0.0,0.0,2010.0,3249.25
2009-12-01,23.0,32.0,23.0,30.0,33,0.3043,0.0,990.0,2718.75
2009-12-02,24.0,30.0,22.0,24.0,33,0.0,-0.2,792.0,2649.45
2009-12-03,24.0,24.0,22.0,24.0,33,0.0,0.0,792.0,2248.65
2009-12-04,24.0,27.99,22.0,24.0,33,0.0,0.0,792.0,2013.62
2009-12-07,29.0,29.0,22.0,22.0,33,-0.2414,-0.0833,726.0,1652.82
2009-12-08,21.1,24.5,21.1,24.5,33,0.1611,0.1136,808.5,1174.8
2009-12-09,24.5,27.0,22.1,22.1,33,-0.098,-0.098,729.3,1140.15
2009-12-10,21.0,35.9,21.0,27.0,533,0.2857,0.2217,14391.0,971.88
2009-12-11,28.0,29.0,24.0,26.5,167,-0.0536,-0.0185,4425.5,2302.08
2009-12-14,28.5,32.0,27.5,29.5,1067,0.0351,0.1132,31476.5,2645.63
2009-12-15,28.0,28.5,22.0,25.0,333,-0.1071,-0.1525,8325.0,5592.28
2009-12-16,25.0,27.5,22.0,23.0,233,-0.08,-0.08,5359.0,6325.78
2009-12-17,22.5,23.0,19.0,20.5,200,-0.0889,-0.1087,4100.0,6782.48
2009-12-18,20.0,21.0,18.0,18.0,100,-0.1,-0.122,1800.0,7113.28
2009-12-21,18.0,20.0,17.0,20.0,133,0.1111,0.1111,2660.0,7214.08
2009-12-22,19.0,20.0,15.0,18.5,367,-0.0263,-0.075,6789.5,7407.48
2009-12-23,18.5,18.5,16.0,17.0,67,-0.0811,-0.0811,1139.0,8005.58
2009-12-24,17.0,18.0,16.0,18.0,33,0.0588,0.0588,594.0,8046.55
2009-12-28,18.0,18.0,16.1,16.1,67,-0.1056,-0.1056,1078.7,6666.85
2009-12-29,16.1,19.0,16.0,17.7,33,0.0994,0.0994,584.1,6332.17
2009-12-30,19.0,19.0,17.0,17.0,33,-0.1053,-0.0395,561.0,3242.93
2009-12-31,16.0,18.0,16.0,17.0,33,0.0625,0.0,561.0,2466.53
2010-01-04,18.0,19.0,17.0,19.0,33,0.0556,0.1176,627.0,1986.73
2010-01-05,17.5,19.0,17.0,17.0,33,-0.0286,-0.1053,561.0,1639.43
2010-01-06,17.0,17.0,16.5,16.51,33,-0.0288,-0.0288,544.83,1515.53
2010-01-07,16.51,17.0,16.5,16.5,33,-0.0006,-0.0006,544.5,1304.01
2010-01-08,16.0,17.0,15.0,16.0,67,0.0,-0.0303,1072.0,679.51
2010-01-11,15.0,16.0,15.0,15.4,33,0.0267,-0.0375,508.2,672.81
2010-01-12,15.5,17.0,15.0,16.5,67,0.0645,0.0714,1105.5,664.23
2010-01-13,17.0,17.0,15.0,16.5,33,-0.0294,0.0,544.5,666.91
2010-01-14,14.0,16.5,14.0,16.5,33,0.1786,0.0,544.5,662.95
2010-01-15,14.0,16.7,14.0,16.7,33,0.1929,0.0121,551.1,661.3
2010-01-19,17.0,17.0,16.0,16.0,33,-0.0588,-0.0419,528.0,660.31
2010-01-20,16.5,16.5,14.0,15.0,33,-0.0909,-0.0625,495.0,650.41
2010-01-21,15.0,15.0,14.2,14.3,33,-0.0467,-0.0467,471.9,643.81
2010-01-22,14.3,15.0,12.0,15.0,33,0.049,0.049,495.0,636.52
2010-01-25,12.0,15.0,12.0,14.0,33,0.1667,-0.0667,462.0,631.57
2010-01-26,14.0,14.0,13.0,14.0,33,0.0,0.0,462.0,570.57
2010-01-27,13.0,14.9,13.0,14.9,33,0.1462,0.0643,491.7,565.95
2010-01-28,13.0,15.0,12.5,14.0,33,0.0769,-0.0604,462.0,504.57
2010-01-29,12.01,14.0,12.0,12.0,33,-0.0008,-0.1429,396.0,496.32
2010-02-01,13.0,14.0,11.5,12.0,33,-0.0769,0.0,396.0,481.47
2010-02-02,11.0,11.0,9.0,10.5,100,-0.0455,-0.125,1050.0,465.96
2010-02-03,11.0,11.0,11.0,11.0,33,0.0,0.0476,363.0,518.16
2010-02-04,9.5,10.4,9.0,10.4,33,0.0947,-0.0545,343.2,504.96
2010-02-05,9.0,10.0,9.0,9.5,33,0.0556,-0.0865,313.5,492.09
2010-02-08,9.0,9.0,8.5,9.0,33,0.0,-0.0526,297.0,473.94
2010-02-09,8.4,9.0,7.0,8.0,33,-0.0476,-0.1111,264.0,457.44
2010-02-10,8.0,8.0,6.9,7.0,33,-0.125,-0.125,231.0,437.64
2010-02-11,7.0,10.0,7.0,10.0,33,0.4286,0.4286,330.0,411.57
2010-02-12,10.0,10.0,9.0,9.0,33,-0.1,-0.1,297.0,398.37
2010-02-16,10.0,14.0,9.0,13.0,33,0.3,0.4444,429.0,388.47
2010-02-17,13.0,13.9,7.1,13.9,67,0.0692,0.0692,931.3,391.77
2010-02-18,13.0,13.0,11.0,13.0,33,0.0,-0.0647,429.0,379.9
2010-02-19,13.0,14.0,11.0,14.0,67,0.0769,0.0769,938.0,386.5
2010-02-22,14.49,14.5,13.0,14.5,67,0.0007,0.0357,971.5,445.98
2010-02-23,14.0,14.0,10.0,13.0,33,-0.0714,-0.1034,429.0,511.78
2010-02-24,13.0,13.0,10.21,10.25,33,-0.2115,-0.2115,338.25,524.98
2010-02-25,10.21,13.0,10.21,11.0,33,0.0774,0.0732,363.0,532.4
2010-02-26,11.0,11.8,10.3,11.0,33,0.0,0.0,363.0,545.6
2010-03-01,11.0,11.0,9.0,10.0,67,-0.0909,-0.0909,670.0,548.9
2010-03-02,10.0,10.0,8.5,9.1,33,-0.09,-0.09,300.3,586.21
2010-03-03,9.0,12.5,8.51,10.0,33,0.1111,0.0989,330.0,573.34
2010-03-04,10.0,10.0,10.0,10.0,33,0.0,0.0,330.0,513.21
2010-03-05,10.0,12.5,10.0,12.5,67,0.25,0.25,837.5,503.3
2010-03-08,12.5,12.5,9.5,10.0,33,-0.2,-0.2,330.0,493.26
2010-03-09,9.1,10.2,9.1,10.0,33,0.0989,0.0,330.0,429.1
2010-03-10,9.11,12.0,9.11,11.5,67,0.2623,0.15,770.5,419.21
2010-03-11,11.5,11.5,9.51,9.51,33,-0.173,-0.173,313.83,462.43
2010-03-12,9.51,10.4,9.5,10.4,33,0.0936,0.0936,343.2,457.51
2010-03-15,10.4,10.4,9.5,10.4,33,0.0,0.0,343.2,455.53
2010-03-16,10.5,11.3,10.0,10.0,100,-0.0476,-0.0385,1000.0,422.85
2010-03-17,10.0,12.0,10.0,10.5,33,0.05,0.05,346.5,492.82
2010-03-18,10.2,11.99,10.2,11.99,33,0.1755,0.1419,395.67,494.47
2010-03-19,11.8,12.4,10.0,11.5,133,-0.0254,-0.0409,1529.5,501.04
2010-03-22,11.5,11.5,8.0,8.0,67,-0.3043,-0.3043,536.0,570.24
2010-03-23,8.5,10.0,8.5,10.0,33,0.1765,0.25,330.0,590.84
2010-03-24,9.5,10.0,9.0,9.5,33,0.0,-0.05,313.5,590.84
2010-03-25,9.0,10.0,9.0,9.5,33,0.0556,0.0,313.5,545.14
2010-03-26,9.0,9.5,9.0,9.0,33,0.0,-0.0526,297.0,545.11
2010-03-29,9.5,9.9,8.5,8.5,33,-0.1053,-0.0556,280.5,540.49
2010-03-30,8.0,9.5,8.0,9.5,33,0.1875,0.1176,313.5,534.22
2010-03-31,9.5,9.5,8.5,9.5,33,0.0,0.0,313.5,465.57
