Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,19.14,19.32,19.05,19.32,94321,0.0094,,1822281.72,
2003-12-02,19.32,19.33,18.96,19.29,125502,-0.0016,-0.0016,2420933.58,
2003-12-03,19.05,19.05,18.68,18.82,199811,-0.0121,-0.0244,3760443.02,
2003-12-04,18.89,18.89,18.71,18.84,60657,-0.0026,0.0011,1142777.88,
2003-12-05,18.76,18.89,18.69,18.81,48867,0.0027,-0.0016,919188.27,
2003-12-08,18.73,18.82,18.7,18.77,82531,0.0021,-0.0021,1549106.87,
2003-12-09,18.84,18.84,18.61,18.73,158701,-0.0058,-0.0021,2972469.73,
2003-12-10,18.63,18.63,18.24,18.45,73533,-0.0097,-0.0149,1356683.85,
2003-12-11,18.47,18.5,18.37,18.43,162734,-0.0022,-0.0011,2999187.62,
2003-12-12,18.49,18.53,18.31,18.4,85013,-0.0049,-0.0016,1564239.2,
2003-12-15,18.53,18.6,18.18,18.24,165061,-0.0157,-0.0087,3010712.64,2050731.17
2003-12-16,18.27,18.43,18.24,18.27,139154,0.0,0.0016,2542343.58,2169574.27
2003-12-17,18.27,18.45,18.15,18.28,122245,0.0005,0.0005,2234638.6,2181715.27
2003-12-18,18.3,18.35,18.16,18.34,106887,0.0022,0.0033,1960307.58,2029134.82
2003-12-19,18.35,18.46,18.28,18.45,65156,0.0054,0.006,1202128.2,2110887.79
2003-12-22,18.36,18.62,18.33,18.62,145670,0.0142,0.0092,2712375.4,2139181.79
2003-12-23,18.62,18.69,18.49,18.55,87960,-0.0038,-0.0038,1631658.0,2255508.64
2003-12-24,18.68,18.68,18.58,18.6,28855,-0.0043,0.0027,536703.0,2121427.47
2003-12-26,18.56,18.66,18.56,18.63,15358,0.0038,0.0016,286119.54,2039429.38
2003-12-29,18.69,18.96,18.69,18.84,95096,0.008,0.0113,1791608.64,1768122.57
2003-12-30,18.89,18.89,18.71,18.71,71982,-0.0095,-0.0069,1346783.22,1790859.52
2003-12-31,18.82,18.85,18.71,18.82,90132,0.0,0.0059,1696284.24,1624466.58
2004-01-02,19.05,19.05,18.51,18.51,194692,-0.0283,-0.0165,3603748.92,1539860.64
2004-01-05,18.63,18.82,18.55,18.56,239990,-0.0038,0.0027,4454214.4,1676771.67
2004-01-06,18.73,18.73,18.49,18.56,107352,-0.0091,0.0,1992453.12,1926162.36
2004-01-07,18.56,18.65,18.4,18.47,102388,-0.0048,-0.0048,1891106.36,2005194.85
2004-01-08,18.53,18.68,18.4,18.44,85788,-0.0049,-0.0016,1581930.72,1923067.94
2004-01-09,18.44,18.52,18.4,18.47,89201,0.0016,0.0016,1647542.47,1918095.22
2004-01-12,18.44,18.49,18.22,18.27,154202,-0.0092,-0.0108,2817270.54,2029179.16
2004-01-13,18.18,18.24,17.98,18.02,225408,-0.0088,-0.0137,4061852.16,2282294.26
2004-01-14,18.02,18.05,17.93,18.05,106111,0.0017,0.0017,1915303.55,2509318.61
2004-01-15,18.21,18.4,17.98,18.33,304991,0.0066,0.0155,5590485.03,2566170.65
2004-01-16,18.26,18.5,18.05,18.05,160252,-0.0115,-0.0153,2892548.6,2955590.73
2004-01-20,18.13,18.21,18.06,18.17,88115,0.0022,0.0066,1601049.55,2884470.7
2004-01-21,18.24,18.37,18.2,18.33,91683,0.0049,0.0088,1680549.39,2599154.21
2004-01-22,18.21,18.21,17.95,18.1,90908,-0.006,-0.0125,1645434.8,2567963.84
2004-01-23,18.04,18.25,17.73,18.02,149703,-0.0011,-0.0044,2697648.06,2543396.68
2004-01-26,17.92,18.24,17.87,18.24,108128,0.0179,0.0122,1972254.72,2654968.42
2004-01-27,18.76,18.81,18.46,18.53,279394,-0.0123,0.0159,5177170.82,2687439.64
2004-01-28,18.47,18.57,18.15,18.17,95407,-0.0162,-0.0194,1733545.19,2923429.67
2004-01-29,18.06,18.32,18.06,18.29,101457,0.0127,0.0066,1855648.53,2690598.97
2004-01-30,18.16,18.37,18.16,18.35,110765,0.0105,0.0033,2032537.75,2684633.47
2004-02-02,18.51,18.51,18.18,18.25,174059,-0.014,-0.0054,3176576.75,2328838.74
