Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,39.87,40.23,39.81,40.06,451744,0.0048,,18096864.64,
2003-12-02,40.06,40.14,39.84,39.92,421537,-0.0035,-0.0035,16827757.04,
2003-12-03,39.87,40.09,39.87,40.01,180014,0.0035,0.0023,7202360.14,
2003-12-04,40.05,40.05,39.25,39.48,417436,-0.0142,-0.0132,16480373.28,
2003-12-05,39.48,39.51,39.33,39.41,295787,-0.0018,-0.0018,11656965.67,
2003-12-08,39.36,39.71,39.21,39.64,350324,0.0071,0.0058,13886843.36,
2003-12-09,39.64,39.92,39.51,39.7,296743,0.0015,0.0015,11780697.1,
2003-12-10,39.73,39.73,39.1,39.34,419897,-0.0098,-0.0091,16518747.98,
2003-12-11,39.29,39.73,39.16,39.73,380805,0.0112,0.0099,15129382.65,
2003-12-12,39.73,40.3,39.65,40.27,407322,0.0136,0.0136,16402856.94,
2003-12-15,40.31,40.55,40.31,40.5,325174,0.0047,0.0057,13169547.0,14398284.88
2003-12-16,40.57,40.66,40.36,40.64,400214,0.0017,0.0035,16264696.96,13905553.12
2003-12-17,40.65,40.85,40.6,40.72,378208,0.0017,0.002,15400629.76,13849247.11
2003-12-18,40.75,40.75,39.25,39.51,6125132,-0.0304,-0.0297,242003965.32,14669074.07
2003-12-19,39.51,39.64,39.4,39.43,778968,-0.002,-0.002,30714708.24,37221433.27
2003-12-22,39.47,39.65,39.25,39.58,344036,0.0028,0.0038,13616944.88,39127207.53
2003-12-23,39.43,39.65,39.43,39.54,319023,0.0028,-0.001,12614169.42,39100217.68
2003-12-24,39.62,39.74,39.55,39.65,144476,0.0008,0.0028,5728473.4,39183564.92
2003-12-26,39.62,39.83,39.47,39.65,117549,0.0008,0.0,4660817.85,38104537.46
2003-12-29,39.73,40.05,39.43,39.87,294420,0.0035,0.0055,11738525.4,37057680.98
2003-12-30,40.02,40.33,39.89,40.23,405408,0.0052,0.009,16309563.84,36591247.82
2003-12-31,40.25,40.28,39.83,40.06,319843,-0.0047,-0.0042,12812910.58,36905249.51
2004-01-02,40.06,40.2,39.44,39.8,546467,-0.0065,-0.0065,21749386.6,36560070.87
2004-01-05,39.87,40.02,39.08,39.35,680008,-0.013,-0.0113,26758314.8,37194946.55
2004-01-06,39.4,40.06,39.27,40.06,602098,0.0168,0.018,24120045.88,15670381.5
