Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,29.38,29.52,29.18,29.47,7165614,0.0031,,211170644.58,
2003-12-02,29.45,29.46,29.09,29.29,9032019,-0.0054,-0.0061,264547836.51,
2003-12-03,29.23,29.4,28.95,28.99,8801512,-0.0082,-0.0102,255155832.88,
2003-12-04,28.9,29.9,28.9,29.9,15247585,0.0346,0.0314,455902791.5,
2003-12-05,29.98,30.34,29.82,30.04,9392735,0.002,0.0047,282157759.4,
2003-12-08,30.04,30.06,29.49,29.69,7237780,-0.0117,-0.0117,214889688.2,
2003-12-09,29.68,29.7,29.31,29.31,9837291,-0.0125,-0.0128,288330999.21,
2003-12-10,29.32,30.06,28.98,30.01,9156446,0.0235,0.0239,274784944.46,
2003-12-11,29.77,30.15,29.7,29.98,10407721,0.0071,-0.001,312023475.58,
2003-12-12,29.9,30.17,29.77,30.06,7826890,0.0054,0.0027,235276313.4,
2003-12-15,30.26,30.42,29.83,30.15,9256299,-0.0036,0.003,279077414.85,279424028.57
2003-12-16,30.43,30.86,30.31,30.5,11822563,0.0023,0.0116,360588171.5,286214705.6
2003-12-17,30.53,30.79,30.4,30.76,9526391,0.0075,0.0085,293031787.16,295818739.1
2003-12-18,30.76,31.05,30.68,30.94,7415469,0.0059,0.0059,229434610.86,299606334.53
2003-12-19,30.97,31.22,30.36,30.71,13328140,-0.0084,-0.0074,409307179.4,276959516.46
2003-12-22,30.71,30.95,30.53,30.69,9120196,-0.0007,-0.0007,279898815.24,289674458.46
2003-12-23,30.69,31.04,30.58,30.73,6907642,0.0013,0.0013,212271838.66,296175371.17
2003-12-24,30.58,30.92,30.5,30.54,3407898,-0.0013,-0.0062,104077204.92,288569455.11
2003-12-26,30.51,30.54,30.4,30.5,2569489,-0.0003,-0.0013,78369414.5,271498681.16
2003-12-29,30.5,30.94,30.48,30.86,7927632,0.0118,0.0118,244646723.52,248133275.05
2003-12-30,30.95,31.48,30.89,31.48,10696382,0.0171,0.0201,336722105.36,249070316.06
2003-12-31,31.42,31.7,31.42,31.55,7309389,0.0041,0.0022,230611222.95,254834785.11
2004-01-02,31.57,31.9,31.55,31.7,8096426,0.0041,0.0048,256656704.2,241837090.26
2004-01-05,31.93,32.65,31.84,32.62,16918064,0.0216,0.029,551867247.68,238199581.96
2004-01-06,32.6,33.22,32.51,33.16,11114586,0.0172,0.0166,368559671.76,270442845.64
2004-01-07,32.78,32.89,32.38,32.88,10416283,0.0031,-0.0084,342487385.04,266368094.88
2004-01-08,33.1,33.38,32.93,33.38,10160535,0.0085,0.0152,339158658.3,272626951.86
2004-01-09,33.23,33.23,32.37,32.41,9437769,-0.0247,-0.0291,305878093.29,285315633.82
2004-01-12,32.24,33.15,32.11,33.03,8130007,0.0245,0.0191,268534131.21,305495722.66
2004-01-13,33.19,33.24,32.37,32.9,8752364,-0.0087,-0.0039,287952775.6,324512194.33
2004-01-14,33.05,33.25,32.89,33.15,6320089,0.003,0.0076,209510950.35,328842799.54
2004-01-15,33.23,33.33,32.92,33.17,8471708,-0.0018,0.0006,281006554.36,316121684.04
2004-01-16,33.27,33.49,33.01,33.23,7526886,-0.0012,0.0018,250118421.78,321161217.18
2004-01-20,33.27,33.71,33.27,33.45,7331406,0.0054,0.0066,245235530.7,320507388.94
2004-01-21,33.44,33.44,32.92,33.29,9250183,-0.0045,-0.0048,307938592.07,289844217.24
2004-01-22,33.27,33.8,33.09,33.72,9170679,0.0135,0.0129,309235295.88,283782109.27
2004-01-23,33.72,33.86,33.61,33.81,5670378,0.0027,0.0027,191715480.18,280456900.35
2004-01-26,33.72,34.06,33.6,33.97,6491329,0.0074,0.0047,220510446.13,265712582.54
2004-01-27,33.97,33.97,33.27,33.35,8578566,-0.0183,-0.0183,286095176.1,257175817.83
2004-01-28,33.5,33.77,32.91,33.06,8833758,-0.0131,-0.0087,292044039.48,258931922.32
2004-01-29,33.19,33.41,32.56,33.36,9394291,0.0051,0.0091,313393547.76,259341048.7
2004-01-30,33.45,33.47,32.92,33.15,6906086,-0.009,-0.0063,228936750.9,269729308.44
2004-02-02,33.05,33.95,32.6,33.72,8820637,0.0203,0.0172,297431879.64,264522328.1
2004-02-03,33.98,33.99,33.22,33.48,5546285,-0.0147,-0.0071,185689621.8,269253673.88
2004-02-04,33.1,33.41,32.69,33.0,7692455,-0.003,-0.0143,253851015.0,263299082.99
2004-02-05,32.87,33.19,32.74,33.18,5736650,0.0094,0.0055,190342047.0,257890325.29
2004-02-06,32.93,33.49,32.65,33.41,5036568,0.0146,0.0069,168271736.88,246001000.4
2004-02-09,33.19,33.39,33.06,33.23,4888345,0.0012,-0.0054,162439704.35,243656626.07
2004-02-10,33.61,33.94,33.38,33.81,8609145,0.006,0.0175,291075192.45,237849551.89
2004-02-11,33.81,34.42,33.73,34.35,8773936,0.016,0.016,301384701.6,238347553.53
