Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,11.25,11.4,11.13,11.38,132900,0.0116,,1512402.0,
2003-12-02,11.28,11.4,11.28,11.37,54100,0.008,-0.0009,615117.0,
2003-12-03,11.45,11.46,11.24,11.3,76800,-0.0131,-0.0062,867840.0,
2003-12-04,11.25,11.34,10.9,11.19,65900,-0.0053,-0.0097,737421.0,
2003-12-05,11.29,11.45,11.1,11.2,212600,-0.008,0.0009,2381120.0,
2003-12-08,11.2,11.24,10.9,10.98,124200,-0.0196,-0.0196,1363716.0,
2003-12-09,11.08,11.18,10.93,11.03,117000,-0.0045,0.0046,1290510.0,
2003-12-10,11.05,11.33,10.97,11.07,81400,0.0018,0.0036,901098.0,
2003-12-11,11.17,11.63,11.17,11.34,102200,0.0152,0.0244,1158948.0,
2003-12-12,11.4,11.5,11.19,11.37,75700,-0.0026,0.0026,860709.0,
2003-12-15,11.47,11.59,11.15,11.15,60100,-0.0279,-0.0193,670115.0,1168888.1
2003-12-16,11.07,11.37,11.05,11.14,41100,0.0063,-0.0009,457854.0,1084659.4
2003-12-17,11.1,11.15,10.95,10.95,103500,-0.0135,-0.0171,1133325.0,1068933.1
2003-12-18,11.0,11.33,11.0,11.17,33200,0.0155,0.0201,370844.0,1095481.6
2003-12-19,11.17,11.25,10.97,10.98,945000,-0.017,-0.017,10376100.0,1058823.9
2003-12-22,11.0,11.05,10.9,11.0,76400,0.0,0.0018,840400.0,1858321.9
2003-12-23,10.9,11.2,10.9,11.13,86500,0.0211,0.0118,962745.0,1805990.3
2003-12-24,10.95,11.1,10.95,11.05,150900,0.0091,-0.0072,1667445.0,1773213.8
2003-12-26,11.05,11.16,11.02,11.06,21900,0.0009,0.0009,242214.0,1849848.5
2003-12-29,11.1,11.64,11.06,11.58,116500,0.0432,0.047,1349070.0,1758175.1
2003-12-30,11.68,11.68,11.45,11.45,79800,-0.0197,-0.0112,913710.0,1807011.2
2003-12-31,11.85,11.85,11.48,11.82,59400,-0.0025,0.0323,702108.0,1831370.7
2004-01-02,11.8,11.92,11.69,11.84,98600,0.0034,0.0017,1167424.0,1855796.1
2004-01-05,11.5,12.22,11.5,12.22,110800,0.0626,0.0321,1353976.0,1859206.0
2004-01-06,12.2,12.29,11.98,12.11,153200,-0.0074,-0.009,1855252.0,1957519.2
2004-01-07,12.11,12.11,11.67,11.9,41700,-0.0173,-0.0173,496230.0,1105434.4
2004-01-08,11.85,11.85,11.51,11.51,54900,-0.0287,-0.0328,631899.0,1071017.4
2004-01-09,11.56,11.78,11.42,11.42,62500,-0.0121,-0.0078,713750.0,1037932.8
2004-01-12,11.45,11.65,11.37,11.65,35800,0.0175,0.0201,417070.0,942563.3
2004-01-13,11.7,11.78,11.23,11.45,66600,-0.0214,-0.0172,762570.0,960048.9
2004-01-14,11.48,11.55,11.37,11.46,55100,-0.0017,0.0009,631446.0,901398.9
2004-01-15,11.5,12.11,11.42,11.8,264100,0.0261,0.0297,3116380.0,873172.5
2004-01-16,11.86,11.9,11.48,11.59,119700,-0.0228,-0.0178,1387323.0,1114599.7
2004-01-20,11.69,11.9,11.44,11.73,144300,0.0034,0.0121,1692639.0,1136589.6
2004-01-21,11.83,11.83,11.55,11.6,94100,-0.0194,-0.0111,1091560.0,1170455.9
2004-01-22,11.61,11.85,11.5,11.7,116100,0.0078,0.0086,1358370.0,1094086.7
2004-01-23,11.7,11.9,11.51,11.84,116900,0.012,0.012,1384096.0,1180300.7
2004-01-26,11.74,11.88,11.6,11.73,76700,-0.0009,-0.0093,899691.0,1255520.4
2004-01-27,11.73,11.82,11.53,11.82,89900,0.0077,0.0077,1062618.0,1274114.5
2004-01-28,11.85,11.85,11.55,11.58,48700,-0.0228,-0.0203,563946.0,1338669.3
2004-01-29,11.68,11.75,11.55,11.7,53700,0.0017,0.0104,628290.0,1318806.9
2004-01-30,11.7,11.72,11.64,11.65,27600,-0.0043,-0.0043,321540.0,1318491.3
2004-02-02,11.7,11.7,11.42,11.42,56000,-0.0239,-0.0197,639520.0,1039007.3
2004-02-03,11.4,11.74,11.4,11.64,51900,0.0211,0.0193,604116.0,964227.0
2004-02-04,11.6,11.6,11.27,11.42,111900,-0.0155,-0.0189,1277898.0,855374.7
2004-02-05,11.4,11.54,11.25,11.45,53900,0.0044,0.0026,617155.0,874008.5
2004-02-06,11.55,11.62,11.45,11.5,49600,-0.0043,0.0044,570400.0,799887.0
2004-02-09,11.55,11.6,11.38,11.5,42300,-0.0043,0.0,486450.0,718517.4
2004-02-10,11.5,11.55,11.4,11.5,36000,0.0,0.0,414000.0,677193.3
2004-02-11,11.5,11.54,11.4,11.51,51100,0.0009,0.0009,588161.0,612331.5
2004-02-12,11.53,11.53,11.35,11.41,61300,-0.0104,-0.0087,699433.0,614753.0
2004-02-13,11.43,11.5,11.15,11.4,82000,-0.0026,-0.0009,934800.0,621867.3
2004-02-17,11.53,11.65,11.35,11.53,66400,0.0,0.0114,765592.0,683193.3
