Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2009-02-13,11.7,11.7,11.7,11.7,0,0.0,,0.0,
2009-02-17,10.69,10.69,10.69,10.69,800,0.0,-0.0863,8552.0,
2009-02-18,10.8,10.8,10.6,10.6,5200,-0.0185,-0.0084,55120.0,
2009-02-19,10.6,10.6,10.6,10.6,0,0.0,0.0,0.0,
2009-02-20,10.28,10.28,9.98,10.01,35000,-0.0263,-0.0557,350350.0,
2009-02-23,10.01,10.01,10.01,10.01,0,0.0,0.0,0.0,
2009-02-24,9.66,9.69,9.65,9.69,13400,0.0031,-0.032,129846.0,
2009-02-25,11.03,11.03,10.07,10.42,15200,-0.0553,0.0753,158384.0,
2009-02-26,10.61,10.62,10.61,10.61,5000,0.0,0.0182,53050.0,
2009-02-27,10.55,10.73,10.55,10.73,6800,0.0171,0.0113,72964.0,
2009-03-02,10.02,10.02,10.02,10.02,200,0.0,-0.0662,2004.0,82826.6
2009-03-03,9.67,9.68,9.67,9.68,2000,0.001,-0.0339,19360.0,83027.0
2009-03-04,9.58,9.58,9.58,9.58,5000,0.0,-0.0103,47900.0,84107.8
2009-03-05,9.11,9.14,9.1,9.14,19600,0.0033,-0.0459,179144.0,83385.8
2009-03-06,9.1,9.12,9.02,9.11,10000,0.0011,-0.0033,91100.0,101300.2
2009-03-09,8.56,8.56,8.56,8.56,1000,0.0,-0.0604,8560.0,75375.2
2009-03-10,9.02,9.3,9.02,9.06,15200,0.0044,0.0584,137712.0,76231.2
2009-03-11,9.16,9.32,9.14,9.14,10400,-0.0022,0.0088,95056.0,77017.8
2009-03-12,8.94,8.94,8.93,8.93,2000,-0.0011,-0.023,17860.0,70685.0
2009-03-13,9.15,9.15,9.02,9.03,2600,-0.0131,0.0112,23478.0,67166.0
2009-03-16,9.03,9.03,9.03,9.03,0,0.0,0.0,0.0,62217.4
2009-03-17,8.72,8.72,8.66,8.66,2000,-0.0069,-0.041,17320.0,62017.0
2009-03-18,8.66,8.86,8.66,8.85,4000,0.0219,0.0219,35400.0,61813.0
2009-03-19,8.85,8.85,8.85,8.85,0,0.0,0.0,0.0,60563.0
2009-03-20,8.85,8.85,8.85,8.85,0,0.0,0.0,0.0,42648.6
2009-03-23,8.85,8.85,8.85,8.85,0,0.0,0.0,0.0,33538.6
2009-03-24,8.85,8.85,8.85,8.85,0,0.0,0.0,0.0,32682.6
2009-03-25,8.85,8.85,8.85,8.85,0,0.0,0.0,0.0,18911.4
2009-03-26,8.85,8.85,8.85,8.85,0,0.0,0.0,0.0,9405.8
2009-03-27,8.85,8.85,8.85,8.85,0,0.0,0.0,0.0,7619.8
2009-03-30,8.85,8.85,8.85,8.85,0,0.0,0.0,0.0,5272.0
2009-03-31,8.85,8.85,8.85,8.85,0,0.0,0.0,0.0,5272.0
2009-04-01,8.85,8.85,8.85,8.85,0,0.0,0.0,0.0,3540.0
2009-04-02,8.85,8.85,8.85,8.85,0,0.0,0.0,0.0,0.0
2009-04-03,9.53,9.53,9.53,9.53,200,0.0,0.0768,1906.0,0.0
2009-04-06,9.53,9.53,9.53,9.53,0,0.0,0.0,0.0,190.6
2009-04-07,9.02,9.02,8.91,8.91,400,-0.0122,-0.0651,3564.0,190.6
2009-04-08,8.91,8.91,8.91,8.91,0,0.0,0.0,0.0,547.0
2009-04-09,8.91,8.91,8.91,8.91,0,0.0,0.0,0.0,547.0
2009-04-13,8.91,8.91,8.91,8.91,0,0.0,0.0,0.0,547.0
2009-04-14,8.91,8.91,8.91,8.91,0,0.0,0.0,0.0,547.0
2009-04-15,8.91,8.91,8.91,8.91,0,0.0,0.0,0.0,547.0
2009-04-16,8.91,8.91,8.91,8.91,0,0.0,0.0,0.0,547.0
2009-04-17,8.91,8.91,8.91,8.91,0,0.0,0.0,0.0,547.0
2009-04-20,8.91,8.91,8.91,8.91,0,0.0,0.0,0.0,547.0
2009-04-21,8.91,8.91,8.91,8.91,0,0.0,0.0,0.0,356.4
2009-04-22,8.91,8.91,8.91,8.91,0,0.0,0.0,0.0,356.4
2009-04-23,8.91,8.91,8.91,8.91,0,0.0,0.0,0.0,0.0
2009-04-24,8.91,8.91,8.91,8.91,0,0.0,0.0,0.0,0.0
2009-04-27,8.91,8.91,8.91,8.91,0,0.0,0.0,0.0,0.0
2009-04-28,8.91,8.91,8.91,8.91,0,0.0,0.0,0.0,0.0
2009-04-29,8.91,8.91,8.91,8.91,0,0.0,0.0,0.0,0.0
2009-04-30,8.91,8.91,8.91,8.91,0,0.0,0.0,0.0,0.0
2009-05-01,8.91,8.91,8.91,8.91,0,0.0,0.0,0.0,0.0
2009-05-04,8.91,8.91,8.91,8.91,0,0.0,0.0,0.0,0.0
2009-05-05,8.91,8.91,8.91,8.91,0,0.0,0.0,0.0,0.0
2009-05-06,8.91,8.91,8.91,8.91,0,0.0,0.0,0.0,0.0
2009-05-07,8.91,8.91,8.91,8.91,0,0.0,0.0,0.0,0.0
2009-05-08,8.91,8.91,8.91,8.91,0,0.0,0.0,0.0,0.0
2009-05-11,8.91,8.91,8.91,8.91,0,0.0,0.0,0.0,0.0
