Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2013-11-06,18.5,18.9,16.19,16.31,11103600,-0.1184,,181099716.0,
2013-11-07,16.64,16.86,16.45,16.56,586400,-0.0048,0.0153,9710784.0,
2013-11-08,16.59,18.09,16.58,17.3,526700,0.0428,0.0447,9111910.0,
2013-11-11,17.68,18.77,17.4,17.94,437300,0.0147,0.037,7845162.0,
2013-11-12,18.77,18.77,17.4,17.55,155200,-0.065,-0.0217,2723760.0,
2013-11-13,17.48,17.5,16.75,17.27,365200,-0.012,-0.016,6307004.0,
2013-11-14,17.5,17.5,17.01,17.34,64400,-0.0091,0.0041,1116696.0,
2013-11-15,17.56,17.8,17.26,17.66,126900,0.0057,0.0185,2241054.0,
2013-11-18,18.0,18.88,17.9,18.74,226300,0.0411,0.0612,4240862.0,
2013-11-19,18.21,18.89,17.9,18.11,114900,-0.0055,-0.0336,2080839.0,
2013-11-20,18.0,18.5,17.5,18.41,84400,0.0228,0.0166,1553804.0,22647778.7
2013-11-21,18.4,18.41,18.0,18.3,99100,-0.0054,-0.006,1813530.0,4693187.5
2013-11-22,18.3,18.3,18.09,18.17,19700,-0.0071,-0.0071,357949.0,3903462.1
2013-11-25,18.4,18.4,18.2,18.3,34600,-0.0054,0.0072,633180.0,3028066.0
2013-11-26,18.0,18.32,18.0,18.21,70000,0.0117,-0.0049,1274700.0,2306867.8
2013-11-27,18.26,20.0,18.26,19.53,442300,0.0696,0.0725,8638119.0,2161961.8
2013-11-29,19.34,20.53,19.34,20.5,111100,0.06,0.0497,2277550.0,2395073.3
2013-12-02,20.9,22.99,20.78,22.94,336000,0.0976,0.119,7707840.0,2511158.7
2013-12-03,23.5,23.5,21.73,22.07,241000,-0.0609,-0.0379,5318870.0,3057837.3
2013-12-04,21.75,22.45,20.71,21.03,163600,-0.0331,-0.0471,3440508.0,3165638.1
2013-12-05,22.41,22.79,20.5,21.93,169100,-0.0214,0.0428,3708363.0,3301605.0
2013-12-06,22.99,24.18,22.0,23.89,238700,0.0391,0.0894,5702543.0,3517060.9
2013-12-09,23.5,25.49,23.0,24.64,518900,0.0485,0.0314,12785696.0,3905962.2
2013-12-10,24.75,25.54,24.33,25.19,224700,0.0178,0.0223,5660193.0,5148736.9
2013-12-11,25.7,26.49,24.69,24.99,245900,-0.0276,-0.0079,6145041.0,5651438.2
2013-12-12,25.0,25.4,23.91,23.96,282900,-0.0416,-0.0412,6778284.0,6138472.3
2013-12-13,23.94,24.64,22.0,24.23,280000,0.0121,0.0113,6784400.0,5952488.8
2013-12-16,25.49,26.0,24.94,25.91,426800,0.0165,0.0693,11058388.0,6403173.8
2013-12-17,26.0,28.38,25.51,27.62,507200,0.0623,0.066,14008864.0,6738228.6
2013-12-18,27.84,28.37,26.52,27.92,252000,0.0029,0.0109,7035840.0,7607228.0
2013-12-19,27.6,28.32,26.6,26.87,188600,-0.0264,-0.0376,5067682.0,7966761.2
2013-12-20,26.79,28.0,24.25,27.96,1600900,0.0437,0.0406,44761164.0,8102693.1
2013-12-23,27.85,28.8,27.25,27.74,217300,-0.0039,-0.0079,6027902.0,12008555.2
2013-12-24,27.85,28.49,26.5,27.82,96200,-0.0011,0.0029,2676284.0,11332775.8
2013-12-26,28.34,28.89,27.5,28.49,159700,0.0053,0.0241,4549853.0,11034384.9
2013-12-27,28.36,28.85,27.51,28.16,102300,-0.0071,-0.0116,2880768.0,10874866.1
2013-12-30,28.16,28.17,27.15,27.77,140200,-0.0138,-0.0138,3893354.0,10485114.5
2013-12-31,27.69,27.99,26.55,26.85,138700,-0.0303,-0.0331,3724095.0,10196009.9
2014-01-02,26.58,26.58,25.03,25.78,156400,-0.0301,-0.0399,4031992.0,9462580.6
2014-01-03,25.89,26.52,24.75,25.03,144400,-0.0332,-0.0291,3614332.0,8464893.4
2014-01-06,25.1,25.5,24.0,24.43,111100,-0.0267,-0.024,2714173.0,8122742.6
2014-01-07,24.95,25.5,24.0,24.05,108300,-0.0361,-0.0156,2604615.0,7887391.7
2014-01-08,24.24,24.4,23.71,24.3,388200,0.0025,0.0104,9433260.0,3671736.8
2014-01-09,24.32,26.5,24.32,26.06,424300,0.0715,0.0724,11057258.0,4012272.6
2014-01-10,26.39,26.5,25.8,26.45,81200,0.0023,0.015,2147740.0,4850370.0
2014-01-13,26.26,26.9,26.01,26.89,131400,0.024,0.0166,3533346.0,4610158.7
2014-01-14,26.75,27.45,26.69,27.39,128200,0.0239,0.0186,3511398.0,4675416.5
2014-01-15,27.35,27.45,26.59,27.43,128200,0.0029,0.0015,3516526.0,4637220.9
2014-01-16,27.43,27.9,27.33,27.58,95600,0.0055,0.0055,2636648.0,4616464.0
2014-01-17,27.67,28.49,27.2,28.45,103000,0.0282,0.0315,2930350.0,4476929.6
2014-01-21,28.45,28.85,27.21,28.85,106400,0.0141,0.0141,3069640.0,4408531.4
2014-01-22,28.85,30.25,28.7,29.5,217700,0.0225,0.0225,6422150.0,4444078.1
2014-01-23,29.5,30.25,28.62,30.07,94800,0.0193,0.0193,2850636.0,4825831.6
2014-01-24,29.7,30.1,27.4,28.33,180300,-0.0461,-0.0579,5107899.0,4167569.2
2014-01-27,27.79,28.0,26.8,27.09,90900,-0.0252,-0.0438,2462481.0,3572633.3
2014-01-28,27.0,28.0,26.96,27.55,103400,0.0204,0.017,2848670.0,3604107.4
2014-01-29,27.63,27.63,26.85,26.99,74300,-0.0232,-0.0203,2005357.0,3535639.8
2014-01-30,27.17,28.5,27.17,27.91,66800,0.0272,0.0341,1864388.0,3385035.7
2014-01-31,27.53,29.15,27.03,28.66,76900,0.041,0.0269,2203954.0,3219821.9
2014-02-03,29.0,29.0,25.61,27.01,161100,-0.0686,-0.0576,4351311.0,3176552.5
2014-02-04,27.04,27.93,26.11,26.22,57900,-0.0303,-0.0292,1518138.0,3318648.6
2014-02-05,26.46,26.46,25.12,25.29,119000,-0.0442,-0.0355,3009510.0,3163498.4
2014-02-06,25.49,25.85,25.21,25.58,83400,0.0035,0.0115,2133372.0,2822234.4
2014-02-07,25.77,29.49,25.77,28.14,263700,0.092,0.1001,7420518.0,2750508.0
2014-02-10,28.3,29.25,27.64,28.51,74700,0.0074,0.0131,2129697.0,2981769.9
2014-02-11,28.6,29.88,28.21,29.77,150300,0.0409,0.0442,4474431.0,2948491.5
2014-02-12,29.62,31.4,28.87,29.81,550600,0.0064,0.0013,16413386.0,3111067.6
