Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2008-04-16,11.0,12.0,11.0,11.75,122900,0.0682,,1444075.0,
2008-04-17,12.0,12.0,12.0,12.0,2500,0.0,0.0213,30000.0,
2008-04-18,12.0,12.0,12.0,12.0,0,0.0,0.0,0.0,
2008-04-21,12.0,12.25,12.0,12.25,3200,0.0208,0.0208,39200.0,
2008-04-22,12.5,12.5,12.5,12.5,5200,0.0,0.0204,65000.0,
2008-04-23,12.75,13.25,12.75,13.25,2900,0.0392,0.06,38425.0,
2008-04-24,13.0,13.0,13.0,13.0,1000,0.0,-0.0189,13000.0,
2008-04-25,13.0,13.0,13.0,13.0,0,0.0,0.0,0.0,
2008-04-28,13.5,13.5,13.5,13.5,2500,0.0,0.0385,33750.0,
2008-04-29,13.5,13.5,13.5,13.5,5000,0.0,0.0,67500.0,
2008-04-30,13.5,13.5,13.5,13.5,39000,0.0,0.0,526500.0,173095.0
2008-05-01,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,81337.5
2008-05-02,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,78337.5
2008-05-05,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,78337.5
2008-05-06,13.5,13.75,13.5,13.75,2500,0.0185,0.0185,34375.0,74417.5
2008-05-07,13.75,13.75,13.75,13.75,28100,0.0,0.0,386375.0,71355.0
2008-05-08,13.75,13.75,13.75,13.75,500,0.0,0.0,6875.0,106150.0
2008-05-09,13.75,13.75,13.75,13.75,500,0.0,0.0,6875.0,105537.5
2008-05-12,13.75,13.75,13.75,13.75,28400,0.0,0.0,390500.0,106225.0
2008-05-13,13.75,13.75,13.75,13.75,0,0.0,0.0,0.0,141900.0
2008-05-14,13.75,13.75,13.75,13.75,0,0.0,0.0,0.0,135150.0
2008-05-15,13.75,13.75,13.75,13.75,100,0.0,0.0,1375.0,82500.0
2008-05-16,13.75,13.75,13.75,13.75,3700,0.0,0.0,50875.0,82637.5
2008-05-19,13.75,13.75,13.75,13.75,25000,0.0,0.0,343750.0,87725.0
2008-05-20,13.75,13.8,13.75,13.8,10500,0.0036,0.0036,144900.0,122100.0
2008-05-21,13.75,13.75,13.75,13.75,3000,0.0,-0.0036,41250.0,133152.5
2008-05-22,13.75,13.75,13.75,13.75,0,0.0,0.0,0.0,98640.0
2008-05-23,13.9,13.95,13.9,13.95,1000,0.0036,0.0145,13950.0,97952.5
2008-05-27,13.95,13.95,13.95,13.95,0,0.0,0.0,0.0,98660.0
2008-05-28,13.95,13.95,13.95,13.95,0,0.0,0.0,0.0,59610.0
2008-05-29,13.95,14.25,13.95,14.25,2000,0.0215,0.0215,28500.0,59610.0
2008-05-30,14.25,14.25,14.25,14.25,0,0.0,0.0,0.0,62460.0
2008-06-02,14.3,14.3,14.3,14.3,200,0.0,0.0035,2860.0,62322.5
2008-06-03,14.3,14.3,14.3,14.3,0,0.0,0.0,0.0,57521.0
2008-06-04,14.3,14.3,14.3,14.3,0,0.0,0.0,0.0,23146.0
2008-06-05,14.3,14.3,14.3,14.3,0,0.0,0.0,0.0,8656.0
2008-06-06,14.25,14.25,14.25,14.25,900,0.0,-0.0035,12825.0,4531.0
2008-06-09,14.25,14.25,14.25,14.25,500,0.0,0.0,7125.0,5813.5
2008-06-10,14.25,14.25,14.25,14.25,0,0.0,0.0,0.0,5131.0
2008-06-11,14.25,14.25,14.25,14.25,0,0.0,0.0,0.0,5131.0
2008-06-12,14.25,14.25,14.25,14.25,0,0.0,0.0,0.0,5131.0
2008-06-13,14.25,14.25,14.25,14.25,2000,0.0,0.0,28500.0,2281.0
2008-06-16,14.25,14.25,14.25,14.25,0,0.0,0.0,0.0,5131.0
2008-06-17,14.25,14.25,14.25,14.25,0,0.0,0.0,0.0,4845.0
2008-06-18,14.25,14.25,14.25,14.25,0,0.0,0.0,0.0,4845.0
2008-06-19,14.25,14.25,14.25,14.25,0,0.0,0.0,0.0,4845.0
2008-06-20,14.25,14.25,14.25,14.25,0,0.0,0.0,0.0,4845.0
2008-06-23,14.25,14.25,14.0,14.0,18600,-0.0175,-0.0175,260400.0,3562.5
2008-06-24,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,28890.0
2008-06-25,14.0,14.0,14.0,14.0,700,0.0,0.0,9800.0,28890.0
2008-06-26,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,29870.0
2008-06-27,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,29870.0
2008-06-30,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,27020.0
2008-07-01,14.0,14.0,14.0,14.0,8000,0.0,0.0,112000.0,27020.0
2008-07-02,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,38220.0
2008-07-03,14.0,14.0,14.0,14.0,2000,0.0,0.0,28000.0,38220.0
2008-07-07,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,41020.0
2008-07-08,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,41020.0
2008-07-09,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,14980.0
2008-07-10,14.0,14.0,14.0,14.0,2400,0.0,0.0,33600.0,14980.0
2008-07-11,14.0,14.0,14.0,14.0,6000,0.0,0.0,84000.0,17360.0
2008-07-14,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,25760.0
2008-07-15,14.0,14.0,14.0,14.0,47100,0.0,0.0,659400.0,25760.0
2008-07-16,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,91700.0
2008-07-17,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,80500.0
2008-07-18,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,80500.0
2008-07-21,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,77700.0
2008-07-22,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,77700.0
2008-07-23,14.0,14.0,14.0,14.0,400,0.0,0.0,5600.0,77700.0
2008-07-24,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,78260.0
2008-07-25,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,74900.0
2008-07-28,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,66500.0
2008-07-29,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,66500.0
2008-07-30,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,560.0
2008-07-31,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,560.0
2008-08-01,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,560.0
2008-08-04,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,560.0
2008-08-05,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,560.0
2008-08-06,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,560.0
2008-08-07,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,0.0
2008-08-08,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,0.0
2008-08-11,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,0.0
2008-08-12,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,0.0
2008-08-13,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,0.0
2008-08-14,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,0.0
2008-08-15,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,0.0
2008-08-18,14.0,14.0,14.0,14.0,1500,0.0,0.0,21000.0,0.0
2008-08-19,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,2100.0
2008-08-20,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,2100.0
2008-08-21,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,2100.0
2008-08-22,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,2100.0
2008-08-25,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,2100.0
2008-08-26,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,2100.0
2008-08-27,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,2100.0
2008-08-28,14.0,14.0,14.0,14.0,200,0.0,0.0,2800.0,2100.0
2008-08-29,14.0,14.0,14.0,14.0,300,0.0,0.0,4200.0,2380.0
2008-09-02,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,2800.0
2008-09-03,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,700.0
2008-09-04,14.0,14.0,14.0,14.0,200,0.0,0.0,2800.0,700.0
2008-09-05,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,980.0
2008-09-08,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,980.0
2008-09-09,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,980.0
2008-09-10,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,980.0
2008-09-11,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,980.0
2008-09-12,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,980.0
2008-09-15,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,700.0
2008-09-16,14.0,14.0,14.0,14.0,1100,0.0,0.0,15400.0,280.0
2008-09-17,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,1820.0
2008-09-18,14.0,14.0,14.0,14.0,24000,0.0,0.0,336000.0,1820.0
2008-09-19,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,35140.0
2008-09-22,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,35140.0
2008-09-23,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,35140.0
2008-09-24,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,35140.0
2008-09-25,13.9,13.9,13.9,13.9,200,0.0,-0.0071,2780.0,35140.0
2008-09-26,13.9,13.9,13.85,13.9,600,0.0,0.0,8340.0,35418.0
2008-09-29,13.75,13.9,13.75,13.9,2300,0.0109,0.0,31970.0,36252.0
2008-09-30,13.75,13.75,13.75,13.75,500,0.0,-0.0108,6875.0,39449.0
2008-10-01,13.75,13.75,13.5,13.5,3200,-0.0182,-0.0182,43200.0,38596.5
2008-10-02,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,42916.5
2008-10-03,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,9316.5
2008-10-06,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,9316.5
2008-10-07,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,9316.5
2008-10-08,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,9316.5
2008-10-09,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,9316.5
2008-10-10,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,9038.5
2008-10-13,13.5,13.5,13.5,13.5,200,0.0,0.0,2700.0,8204.5
2008-10-14,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,5277.5
2008-10-15,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,4590.0
2008-10-16,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,270.0
2008-10-17,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,270.0
2008-10-20,13.5,13.5,13.5,13.5,400,0.0,0.0,5400.0,270.0
2008-10-21,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,810.0
2008-10-22,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,810.0
2008-10-23,13.5,13.5,13.5,13.5,1600,0.0,0.0,21600.0,810.0
2008-10-24,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,2970.0
2008-10-27,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,2970.0
2008-10-28,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,2700.0
2008-10-29,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,2700.0
2008-10-30,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,2700.0
2008-10-31,13.5,13.5,13.5,13.5,200,0.0,0.0,2700.0,2700.0
2008-11-03,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,2970.0
2008-11-04,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,2430.0
2008-11-05,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,2430.0
2008-11-06,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,2430.0
2008-11-07,13.5,13.5,13.5,13.5,200,0.0,0.0,2700.0,270.0
2008-11-10,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,540.0
2008-11-11,13.5,13.5,13.5,13.5,400,0.0,0.0,5400.0,540.0
2008-11-12,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,1080.0
2008-11-13,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,1080.0
2008-11-14,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,1080.0
2008-11-17,13.5,13.5,13.5,13.5,200,0.0,0.0,2700.0,810.0
2008-11-18,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,1080.0
2008-11-19,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,1080.0
2008-11-20,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,1080.0
2008-11-21,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,1080.0
2008-11-24,13.5,13.5,13.5,13.5,600,0.0,0.0,8100.0,810.0
2008-11-25,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,1620.0
2008-11-26,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,1080.0
2008-11-28,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,1080.0
2008-12-01,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,1080.0
2008-12-02,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,1080.0
2008-12-03,13.5,13.5,13.5,13.5,500,0.0,0.0,6750.0,810.0
2008-12-04,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,1485.0
2008-12-05,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,1485.0
2008-12-08,13.5,13.5,13.5,13.5,800,0.0,0.0,10800.0,1485.0
2008-12-09,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,2565.0
2008-12-10,13.5,13.5,13.5,13.5,0,0.0,0.0,0.0,1755.0
2008-12-11,13.5,13.5,13.5,13.5,1000,0.0,0.0,13500.0,1755.0
2008-12-12,13.5,13.5,13.5,13.5,600,0.0,0.0,8100.0,3105.0
