Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,438.0,453.49,438.0,449.1,13600,0.0253,,6107760.0,
2003-12-02,448.1,449.5,445.5,446.83,6000,-0.0028,-0.0051,2680980.0,
2003-12-03,446.83,446.83,445.0,445.0,3300,-0.0041,-0.0041,1468500.0,
2003-12-04,445.01,445.01,441.5,441.51,3000,-0.0079,-0.0078,1324530.0,
2003-12-05,443.0,448.0,443.0,444.9,6200,0.0043,0.0077,2758380.0,
2003-12-08,445.0,446.0,444.0,446.0,10800,0.0022,0.0025,4816800.0,
2003-12-09,447.0,452.5,447.0,451.0,7500,0.0089,0.0112,3382500.0,
2003-12-10,450.0,456.5,450.0,456.0,9000,0.0133,0.0111,4104000.0,
2003-12-11,458.0,458.27,451.0,452.0,6000,-0.0131,-0.0088,2712000.0,
2003-12-12,455.0,464.0,453.5,460.97,7300,0.0131,0.0198,3365081.0,
2003-12-15,463.0,464.0,456.0,457.0,1900,-0.013,-0.0086,868300.0,3272053.1
2003-12-16,456.0,459.98,455.5,459.98,1600,0.0087,0.0065,735968.0,2748107.1
2003-12-17,459.99,459.99,455.5,455.5,1000,-0.0098,-0.0097,455500.0,2553605.9
2003-12-18,457.5,461.0,457.5,461.0,2200,0.0077,0.0121,1014200.0,2452305.9
2003-12-19,461.0,461.0,455.0,455.0,13100,-0.013,-0.013,5960500.0,2421272.9
2003-12-22,453.75,455.02,452.6,454.5,6000,0.0017,-0.0011,2727000.0,2741484.9
2003-12-23,455.0,455.0,453.0,454.0,7400,-0.0022,-0.0011,3359600.0,2532504.9
2003-12-24,454.75,455.5,454.0,455.5,4700,0.0016,0.0033,2140850.0,2530214.9
2003-12-26,456.5,458.0,456.5,457.0,6200,0.0011,0.0033,2833400.0,2333899.9
2003-12-29,457.0,457.0,456.22,456.22,10300,-0.0017,-0.0017,4699066.0,2346039.9
2003-12-30,456.0,456.0,453.57,453.99,14900,-0.0044,-0.0049,6764451.0,2479438.4
2003-12-31,454.0,461.25,454.0,459.95,20900,0.0131,0.0131,9612955.0,3069053.5
2004-01-02,459.95,459.95,452.75,454.0,2800,-0.0129,-0.0129,1271200.0,3956752.2
2004-01-05,453.0,462.96,452.88,462.96,7400,0.022,0.0197,3425904.0,4038322.2
