Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-10-22,15.0,16.6,14.89,16.0,1429900,0.0667,,22878400.0,
2021-10-25,16.24,16.46,15.03,16.0,296300,-0.0148,0.0,4740800.0,
2021-10-26,16.03,16.46,15.52,16.45,257800,0.0262,0.0281,4240810.0,
2021-10-27,16.38,16.74,15.99,16.09,138300,-0.0177,-0.0219,2225247.0,
2021-10-28,16.27,16.44,15.52,16.2,91700,-0.0043,0.0068,1485540.0,
2021-10-29,16.72,17.11,16.14,16.79,103500,0.0042,0.0364,1737765.0,
2021-11-01,17.04,19.02,17.0,19.02,197300,0.1162,0.1328,3752646.0,
2021-11-02,19.42,23.29,18.6,23.09,296600,0.189,0.214,6848494.0,
2021-11-03,22.93,23.38,18.56,19.61,132700,-0.1448,-0.1507,2602247.0,
2021-11-04,19.38,23.86,19.38,23.23,110300,0.1987,0.1846,2562269.0,
2021-11-05,23.65,23.73,20.0,21.45,107500,-0.093,-0.0766,2305875.0,5307421.8
2021-11-08,21.3,25.68,21.3,23.8,117600,0.1174,0.1096,2798880.0,3250169.3
2021-11-09,23.5,26.0,22.23,23.68,98600,0.0077,-0.005,2334848.0,3055977.3
2021-11-10,24.01,24.75,20.7,22.81,61700,-0.05,-0.0367,1407377.0,2865381.1
2021-11-11,22.11,24.53,22.11,23.75,32300,0.0742,0.0412,767125.0,2783594.1
2021-11-12,23.0,23.02,21.44,22.16,23100,-0.0365,-0.0669,511896.0,2711752.6
2021-11-15,23.81,23.81,21.2,22.2,60200,-0.0676,0.0018,1336440.0,2589165.7
2021-11-16,22.55,27.95,21.55,25.11,260600,0.1135,0.1311,6543666.0,2347545.1
2021-11-17,25.09,27.07,21.84,23.75,121000,-0.0534,-0.0542,2873750.0,2317062.3
2021-11-18,24.15,26.99,22.63,24.29,119000,0.0058,0.0227,2890510.0,2344212.6
2021-11-19,23.29,23.99,22.12,22.76,79900,-0.0228,-0.063,1818524.0,2377036.7
2021-11-22,22.55,24.34,22.22,22.83,122000,0.0124,0.0031,2785260.0,2328301.6
2021-11-23,23.28,24.68,20.51,21.92,107200,-0.0584,-0.0399,2349824.0,2326939.6
2021-11-24,21.83,22.45,19.21,20.35,119100,-0.0678,-0.0716,2423685.0,2328437.2
2021-11-26,19.33,20.55,18.07,19.91,94500,0.03,-0.0216,1881495.0,2430068.0
2021-11-29,20.59,20.59,14.68,15.2,166100,-0.2618,-0.2366,2524720.0,2541505.0
2021-11-30,15.55,16.11,14.79,15.84,180900,0.0186,0.0421,2865456.0,2742787.4
2021-12-01,15.51,16.9,15.25,16.21,81100,0.0451,0.0234,1314631.0,2895689.0
