Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-15,0.04,0.04,0.04,0.04,100,0.0,,4.0,
2003-12-16,0.04,0.04,0.04,0.04,900,0.0,0.0,36.0,
2003-12-17,0.04,0.04,0.04,0.04,0,0.0,0.0,0.0,
2003-12-18,0.04,0.04,0.04,0.04,0,0.0,0.0,0.0,
2003-12-19,0.04,0.04,0.04,0.04,0,0.0,0.0,0.0,
2003-12-22,0.04,0.04,0.04,0.04,2100,0.0,0.0,84.0,
2003-12-23,0.04,0.04,0.04,0.04,4500,0.0,0.0,180.0,
2003-12-24,0.04,0.04,0.04,0.04,0,0.0,0.0,0.0,
2003-12-26,0.04,0.04,0.04,0.04,1000,0.0,0.0,40.0,
2003-12-29,0.04,0.04,0.04,0.04,0,0.0,0.0,0.0,
2003-12-30,0.04,0.04,0.04,0.04,0,0.0,0.0,0.0,34.4
2003-12-31,0.04,0.04,0.04,0.04,5000,0.0,0.0,200.0,34.0
2004-01-02,0.04,0.04,0.04,0.04,3000,0.0,0.0,120.0,50.4
2004-01-05,0.04,0.04,0.04,0.04,1000,0.0,0.0,40.0,62.4
2004-01-06,0.04,0.04,0.04,0.04,27500,0.0,0.0,1100.0,66.4
2004-01-07,0.04,0.04,0.04,0.04,1000,0.0,0.0,40.0,176.4
2004-01-08,0.04,0.05,0.04,0.05,157100,0.25,0.25,7855.0,172.0
2004-01-09,0.05,0.05,0.05,0.05,63400,0.0,0.0,3170.0,939.5
2004-01-12,0.05,0.05,0.05,0.05,10600,0.0,0.0,530.0,1256.5
2004-01-13,0.05,0.05,0.05,0.05,36200,0.0,0.0,1810.0,1305.5
2004-01-14,0.05,0.05,0.05,0.05,2300,0.0,0.0,115.0,1486.5
2004-01-15,0.05,0.05,0.05,0.05,20600,0.0,0.0,1030.0,1498.0
2004-01-16,0.05,0.05,0.05,0.05,5000,0.0,0.0,250.0,1581.0
